,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,ndate,AADailyCases,AA7Day,AADaily100K,AA100k7D,BaltCountyDailyCases,BaltimoreCounty7Day,BaltimoreCountyDaily100K,BaltimoreCounty100k7D,BaltimoreCityDC,BaltCity7Day,BaltCityDaily100k,BaltimoreCity100k7D,HowardDC,Howard7Day,HowardCountyDaily100K,HowardCounty100k7D,CalvertDC,Calvert7Day,CalvertDaily100k,Calvert100k7D,PGDC,PG7Day,PGDaily100k,PG100k7D,HarfordDC,Hardford7Day,Harford100kDaily,Hardford100k7D,MontgomeryDC,Montgomery7Day,Montgomery100kDaily,Montgomery100k7D
769,770,2022/04/23 10:00:00+00,17176,90386,133076,113203,11202,6085,21616,15595,28267,7748,45989,5728,38569,44447,3063,171138,172070,7147,5214,18983,5602,35193,19725,8703,0,2022-04-23 10:00:00+00:00,96.0,71.0,16.747175222554258,12.385931675014088,109.0,80.57142857142857,12.868949232585598,9.5125653567212,112.0,84.57142857142857,18.173203611275174,13.72262313504452,74.0,57.57142857142857,21.963605711724707,17.087515640588915,6.0,6.142857142857143,6.34209246770818,6.4930946693202785,137.0,127.14285714285714,14.954013679102147,13.87807317455778,48.0,28.0,18.79103197998755,10.961435321659405,270.0,222.57142857142858,25.697447767558018,21.18339874172243
770,771,2022/04/24 10:00:00+00,17181,90446,133173,113279,11216,6085,21627,15607,28300,7749,46015,5728,38595,44519,3064,171358,172168,7150,5215,18996,5604,35194,19733,8706,0,2022-04-24 10:00:00+00:00,60.0,70.14285714285714,10.466984514096412,12.236403324812711,97.0,85.14285714285714,11.452184179456907,10.0522853769607,76.0,87.42857142857143,12.33181673622244,14.186225267985213,72.0,53.57142857142857,21.369994746542957,15.900293710225416,14.0,7.571428571428571,14.798215757985751,8.003116685441274,98.0,127.85714285714286,10.697031682861391,13.956039877785631,26.0,30.142857142857142,10.17847565582659,11.800320677908848,220.0,229.85714285714286,20.938661143936166,21.876821935450188
771,772,2022/04/25 10:00:00+00,17183,90479,133244,113331,11223,6085,21639,15609,28313,7749,46031,5728,38614,44556,3065,171479,172236,7153,5215,19008,5606,35198,19738,8706,0,2022-04-25 10:00:00+00:00,33.0,67.42857142857143,5.7568414827530265,11.762896882508347,71.0,87.85714285714286,8.382526564344746,10.372744138977906,52.0,86.85714285714286,8.437558819520618,14.093504841397076,37.0,56.142857142857146,10.981802855862353,16.663507808316233,7.0,7.285714285714286,7.399107878992876,7.701112282217075,68.0,125.0,7.4224301472915775,13.644173064874222,19.0,29.714285714285715,7.438116825411739,11.63254360665896,121.0,223.28571428571428,11.516263629164891,21.251381407774172
772,773,2022/04/26 10:00:00+00,17187,90549,133326,113407,11228,6087,21648,15621,28328,7750,46060,5728,38643,44617,3067,171773,172361,7153,5216,19012,5607,35207,19742,8709,0,2022-04-26 10:00:00+00:00,70.0,69.57142857142857,12.21148193311248,12.13671775801179,82.0,90.42857142857143,9.681227863046045,10.676336650362625,76.0,91.28571428571429,12.33181673622244,14.812088147455148,61.0,59.142857142857146,18.10513443804334,17.55392425608886,5.0,7.571428571428571,5.285077056423483,8.003116685441274,125.0,126.14285714285714,13.644173064874222,13.768919790038789,29.0,30.285714285714285,11.352915154575813,11.856246368325477,294.0,236.28571428571428,27.98166534689651,22.48866592991585
773,774,2022/04/27 10:00:00+00,17191,90627,133390,113498,11248,6089,21660,15627,28338,7750,46084,5729,38670,44661,3068,171987,172451,7155,5215,19021,5612,35222,19748,8711,0,2022-04-27 10:00:00+00:00,78.0,71.28571428571429,13.607079868325334,12.435774458414546,64.0,92.28571428571429,7.556080283353011,10.89559790858492,91.0,94.14285714285714,14.765727934161077,15.27569028039584,44.0,59.285714285714285,13.059441233998474,17.596325039316127,20.0,9.428571428571429,21.140308225693932,9.96614530639857,90.0,124.0,9.82380460670944,13.53501968035523,27.0,31.142857142857142,10.569955488742997,12.191800510825257,214.0,241.57142857142858,20.36760674910154,22.991737658698735
774,775,2022/04/28 10:00:00+00,17197,90757,133546,113670,11266,6095,21688,15639,28365,7753,46132,5730,38715,44755,3068,172355,172659,7159,5218,19044,5620,35236,19761,8716,0,2022-04-28 10:00:00+00:00,130.0,76.85714285714286,22.678466447208894,13.4077087347235,156.0,98.42857142857143,18.417945690672962,11.620846685781752,172.0,102.14285714285714,27.908848403029733,16.57377625262978,94.0,66.28571428571429,27.899715363542196,19.67396341745225,18.0,10.714285714285714,19.026277403124535,11.325165120907462,208.0,128.0,22.703903979950706,13.971633218431204,45.0,32.42857142857143,17.616592481238328,12.695131724574923,368.0,248.42857142857142,35.02466954985685,23.644371252795448
775,776,2022/04/29 10:00:00+00,17203,90891,133686,113829,11274,6100,21722,15652,28419,7754,46185,5731,38761,44859,3069,172745,172823,7164,5221,19065,5622,35250,19783,8725,0,2022-04-29 10:00:00+00:00,134.0,85.85714285714286,23.376265414815318,14.97775641183796,140.0,102.71428571428571,16.528925619834713,12.126834204756282,159.0,105.42857142857143,25.79945869814958,17.106918705511582,104.0,69.42857142857143,30.86777018945094,20.606780648452137,8.0,11.142857142857142,8.456123290277572,11.77817172574376,164.0,127.14285714285714,17.90115506111498,13.878073174557782,46.0,34.285714285714285,18.008072314154738,13.422165699991108,390.0,268.14285714285717,37.11853566425047,25.520692835823493
776,777,2022/04/30 10:00:00+00,17209,91016,133826,113990,11283,6105,21737,15664,28457,7756,46229,5732,38804,44921,3071,173068,173020,7168,5223,19080,5627,35262,19794,8733,0,2022-04-30 10:00:00+00:00,125.0,90.0,21.80621773770086,15.700476771144618,140.0,107.14285714285714,16.528925619834713,12.6496879743633,161.0,112.42857142857143,26.123980191208066,18.24274393121628,62.0,67.71428571428571,18.401939920634213,20.097971249724925,9.0,11.571428571428571,9.513138701562267,12.231178330580061,197.0,135.71428571428572,21.503216750241773,14.813673613292012,43.0,33.57142857142857,16.833632815405515,13.142537247907958,323.0,275.7142857142857,30.74176158859719,26.241309095971946
777,778,2022/05/01 10:00:00+00,17212,91103,133916,114072,11292,6107,21752,15670,28471,7757,46255,5732,38828,44958,3077,173264,173116,7172,5224,19087,5631,35268,19804,8735,0,2022-05-01 10:00:00+00:00,87.0,93.85714285714286,15.177127545439795,16.373354347050814,90.0,106.14285714285714,10.625737898465172,12.531624219935907,82.0,113.28571428571429,13.305381215397897,18.381824571098488,37.0,62.714285714285715,10.981802855862353,18.613943836770552,9.0,10.857142857142858,9.513138701562267,11.476167322519562,96.0,135.42857142857142,10.478724913823404,14.782486932000873,24.0,33.285714285714285,9.395515989993775,13.0306858670747,196.0,272.2857142857143,18.654443564597674,25.91499229892359
778,779,2022/05/02 10:00:00+00,17216,91166,133990,114120,11295,6107,21760,15682,28487,7761,46272,5732,38843,44987,3079,173365,173189,7175,5226,19101,5632,35273,19808,8736,0,2022-05-02 10:00:00+00:00,63.0,98.14285714285714,10.990333739801232,17.120996098057702,74.0,106.57142857142857,8.736717827626919,12.582222971833362,48.0,112.71428571428571,7.788515833403647,18.28910414451035,29.0,61.57142857142857,8.607358995135359,18.27473757095241,3.0,10.285714285714286,3.17104623385409,10.872158516071163,73.0,136.14285714285714,7.968197069886545,14.860453635228724,15.0,32.714285714285715,5.87219749374611,12.806983105408182,101.0,269.42857142857144,9.612748979716148,25.643061634716627
