,ObjectID,OldDate,Count,Date,DailyCases,7Day,Daily100k,100k7D,100k7D_Diff,TotalNewsCasesPast7Days,TotalCasesPast7Days100K
88,89,2020/05/31 14:00:00+00,52778,2020-05-31 14:00:00+00:00,763.0,923.5714285714286,12.620581969273928,15.276551662863872,-0.12996292984648328,6465.0,106.93586164004711
89,90,2020/06/01 14:00:00+00,53327,2020-06-01 14:00:00+00:00,549.0,882.1428571428571,9.080864352727898,14.591292578218779,-0.685259084645093,6175.0,102.13904804753146
90,91,2020/06/02 14:00:00+00,54175,2020-06-02 14:00:00+00:00,848.0,926.8571428571429,14.026544573976789,15.33089979716331,0.7396072189445313,6488.0,107.31629858014317
91,92,2020/06/03 14:00:00+00,54982,2020-06-03 14:00:00+00:00,807.0,937.0,13.348374376414235,15.498670124783317,0.16777032762000665,6559.0,108.49069087348322
92,93,2020/06/04 14:00:00+00,55858,2020-06-04 14:00:00+00:00,876.0,878.4285714285714,14.489685196702439,14.529855556836807,-0.9688145679465094,6149.0,101.70898889785764
93,94,2020/06/05 14:00:00+00,56770,2020-06-05 14:00:00+00:00,912.0,826.0,15.085151711635415,13.662648370406638,-0.8672071864301696,5782.0,95.63853859284647
94,95,2020/06/06 14:00:00+00,57482,2020-06-06 14:00:00+00:00,712.0,781.0,11.77700440645221,12.918315226740418,-0.7443331436662195,5467.0,90.42820658718291
95,96,2020/06/07 14:00:00+00,57973,2020-06-07 14:00:00+00:00,491.0,742.1428571428571,8.121501634224769,12.275589464590537,-0.6427257621498814,5195.0,85.92912625213376
96,97,2020/06/08 14:00:00+00,58404,2020-06-08 14:00:00+00:00,431.0,725.2857142857143,7.129057442669808,11.99675990601081,-0.27882955857972647,5077.0,83.97731934207566
97,98,2020/06/09 14:00:00+00,58904,2020-06-09 14:00:00+00:00,500.0,675.5714285714286,8.270368262958012,11.174449004436699,-0.8223109015741112,4729.0,78.22114303105688
98,99,2020/06/10 14:00:00+00,59465,2020-06-10 14:00:00+00:00,561.0,640.4285714285714,9.27935319103889,10.593160263668791,-0.5812887407679082,4483.0,74.15212184568155
99,100,2020/06/11 14:00:00+00,60197,2020-06-11 14:00:00+00:00,732.0,619.8571428571429,12.107819136970532,10.252893683707091,-0.34026657996169973,4339.0,71.77025578594964
100,101,2020/06/12 14:00:00+00,60613,2020-06-12 14:00:00+00:00,416.0,549.0,6.880946394781067,9.080864352727898,-1.1720293309791927,3843.0,63.56605046909529
101,102,2020/06/13 14:00:00+00,61305,2020-06-13 14:00:00+00:00,692.0,546.1428571428571,11.44618967593389,9.033605105510997,-0.047259247216901556,3823.0,63.235235738576975
102,103,2020/06/14 14:00:00+00,61701,2020-06-14 14:00:00+00:00,396.0,532.5714285714286,6.5501316642627465,8.809123681230707,-0.22448142428028994,3728.0,61.66386576861495
103,104,2020/06/15 14:00:00+00,62032,2020-06-15 14:00:00+00:00,331.0,518.2857142857143,5.474983790078205,8.572827445146192,-0.2362962360845149,3628.0,60.00979211602334
104,105,2020/06/16 14:00:00+00,62409,2020-06-16 14:00:00+00:00,377.0,500.7142857142857,6.235857670270342,8.282183074762239,-0.2906443703839532,3505.0,57.975281523335674
105,106,2020/06/17 14:00:00+00,62969,2020-06-17 14:00:00+00:00,560.0,500.57142857142856,9.262812454512975,8.279820112401394,-0.002362962360844989,3504.0,57.958740786809756
