,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,AACountyPop,ndate,AADailyCases,AA7Day,AADaily100K,AA100k7D,BaltCountyDailyCases,BaltimoreCounty7Day,BaltimoreCountyDaily100K,BaltimoreCounty100k7D,BaltimoreCityDC,BaltCity7Day,BaltCityDaily100k,BaltimoreCity100k7D,HowardDC,Howard7Day,HowardCountyDaily100K,HowardCounty100k7D,CalvertDC,Calvert7Day,CalvertDaily100k,Calvert100k7D,PGDC,PG7Day,PGDaily100k,PG100k7D,HarfordDC,Hardford7Day,Harford100kDaily,Hardford100k7D,MontgomeryDC,Montgomery7Day,Montgomery100kDaily,Montgomery100k7D
34,35,2020/04/18 14:00:00+00,33.0,1005,1664,1378,109.0,33.0,308,131.0,347,20.0,557.0,4.0,195,508.0,16.0,2404,3160,24.0,10.0,101.0,16.0,116.0,138.0,31.0,0.0,,2020-04-18 14:00:00+00:00,39.0,55.714285714285715,6.803539934162667,9.719342763089525,95.0,70.14285714285714,11.216056670602125,8.281329060549838,105.0,88.85714285714286,17.037378385570477,14.418026334455561,33.0,22.428571428571427,9.794580925498856,6.65692296668104,0.0,3.857142857142857,0.0,4.077059443526687,194.0,176.71428571428572,21.175756596684792,19.288962378570755,19.0,10.714285714285714,7.438116825411739,4.194426781247222,124.0,123.85714285714286,11.801790826582202,11.788194293371854
35,36,2020/04/19 14:00:00+00,33.0,1047,1733,1392,113.0,33.0,313,131.0,370,21.0,591.0,4.0,210,515.0,18.0,2507,3345,25.0,10.0,105.0,19.0,117.0,145.0,33.0,0.0,,2020-04-19 14:00:00+00:00,42.0,55.42857142857143,7.326889159867489,9.669499979689066,69.0,68.0,8.146399055489965,8.028335301062572,14.0,82.85714285714286,2.2716504514093967,13.444461855280105,7.0,20.571428571428573,2.077638378136121,6.105712784726561,4.0,3.2857142857142856,4.228061645138786,3.4730506370782885,185.0,187.14285714285714,20.19337613601385,20.427276245697406,15.0,11.571428571428571,5.87219749374611,4.529980923746999,103.0,125.14285714285714,9.803100444661021,11.910563092264988
36,37,2020/04/20 14:00:00+00,32.0,1098,1875,1511,114.0,39.0,335,134.0,392,23.0,616.0,4.0,226,538.0,28.0,2647,3583,26.0,11.0,107.0,22.0,123.0,166.0,34.0,0.0,,2020-04-20 14:00:00+00:00,51.0,53.42857142857143,8.896936836981949,9.320600495885852,142.0,73.42857142857143,16.76505312868949,8.669252825096981,119.0,91.14285714285714,19.309028836979873,14.788908040808113,23.0,21.714285714285715,6.826526099590112,6.444919050544702,1.0,2.857142857142857,1.0570154112846966,3.0200440322419904,238.0,196.85714285714286,25.978505515520517,21.487623409596203,16.0,12.0,6.263677326662517,4.697757994996889,140.0,127.28571428571429,13.324602546141195,12.114511090420208
37,38,2020/04/21 14:00:00+00,56.0,1157,1925,1542,116.0,41.0,330,134.0,401,25.0,632.0,4.0,232,565.0,29.0,2768,3734,27.0,11.0,107.0,22.0,126.0,176.0,33.0,0.0,,2020-04-21 14:00:00+00:00,59.0,53.42857142857143,10.292534772194804,9.320600495885852,50.0,78.28571428571429,5.90318772136954,9.24270534660145,31.0,82.85714285714286,5.0300831424065215,13.444461855280105,27.0,23.142857142857142,8.013748029953609,6.868926882817378,2.0,2.4285714285714284,2.114030822569393,2.5670374274056917,151.0,196.85714285714286,16.48216106236806,21.487623409596207,6.0,12.142857142857142,2.348878997498444,4.753683685413518,121.0,126.42857142857143,11.516263629164891,12.032931891158118
38,39,2020/04/22 14:00:00+00,58.0,1190,2012,1602,118.0,41.0,344,134.0,427,28.0,658.0,4.0,267,592.0,36.0,2868,3875,31.0,11.0,112.0,23.0,127.0,183.0,34.0,0.0,,2020-04-22 14:00:00+00:00,33.0,49.285714285714285,5.7568414827530265,8.597880136579196,87.0,75.28571428571429,10.271546635182998,8.888514083319278,60.0,77.42857142857143,9.735644791754558,12.563617802692788,27.0,24.0,8.013748029953609,7.123331582180986,2.0,2.2857142857142856,2.114030822569393,2.416035225793592,141.0,194.14285714285714,15.390627217178123,21.19134993733036,35.0,16.428571428571427,13.701794152074255,6.431454397912406,100.0,133.57142857142858,9.51757324724371,12.71275855167553
39,40,2020/04/23 14:00:00+00,77.0,1294,2132,1672,121.0,50.0,355,140.0,442,31.0,690.0,4.0,280,618.0,64.0,3060,4141,33.0,12.0,115.0,25.0,139.0,203.0,39.0,0.0,,2020-04-23 14:00:00+00:00,104.0,56.857142857142854,18.142773157767113,9.91871389669136,120.0,88.0,14.167650531286894,10.389610389610391,70.0,73.14285714285714,11.358252257046985,11.868214603281746,26.0,23.857142857142858,7.716942547362735,7.080930798953718,3.0,2.5714285714285716,3.17104623385409,2.7180396290177913,266.0,202.71428571428572,29.034800282052345,22.126950376064595,13.0,17.0,5.089237827913295,6.655157159578924,192.0,132.42857142857142,18.273740634707927,12.603986285992745
40,41,2020/04/24 14:00:00+00,90.0,1373,2234,1728,125.0,55.0,372,144.0,459,32.0,765.0,4.0,289,642.0,67.0,3227,4403,43.0,13.0,119.0,23.0,143.0,222.0,44.0,0.0,,2020-04-24 14:00:00+00:00,79.0,58.142857142857146,13.781529610226942,10.143006421993428,102.0,95.0,12.04250295159386,11.216056670602127,56.0,65.0,9.086601805637587,10.546948524400772,24.0,23.857142857142858,7.123331582180986,7.080930798953718,4.0,2.2857142857142856,4.228061645138786,2.416035225793592,262.0,205.28571428571428,28.59818674397637,22.407630507684864,9.0,16.142857142857142,3.523318496247666,6.319603017079146,167.0,135.28571428571428,15.894347322896996,12.875916950199708
41,42,2020/04/25 14:00:00+00,105.0,1430,2387,1791,130.0,61.0,384,146.0,483,38.0,814.0,4.0,302,686.0,67.0,3483,4795,52.0,14.0,124.0,28.0,154.0,242.0,46.0,0.0,,2020-04-25 14:00:00+00:00,57.0,60.714285714285715,9.94363528839159,10.591591472597559,153.0,103.28571428571429,18.06375442739079,12.19429920728622,63.0,59.0,10.222427031342285,9.573384045225314,44.0,25.428571428571427,13.059441233998474,7.547339414453664,5.0,3.0,5.285077056423483,3.1710462338540895,392.0,233.57142857142858,42.788126731445566,25.495111955507834,13.0,15.285714285714286,5.089237827913295,5.984048874579369,256.0,154.14285714285714,24.364987512943898,14.670659333965663
42,43,2020/04/26 14:00:00+00,113.0,1510,2509,1866,134.0,63.0,391,154.0,504,46.0,834.0,4.0,319,707.0,68.0,3645,4987,53.0,16.0,133.0,34.0,173.0,270.0,48.0,0.0,,2020-04-26 14:00:00+00:00,80.0,66.14285714285714,13.955979352128548,11.538604357206282,122.0,110.85714285714286,14.403778040141676,13.088210490807894,75.0,67.71428571428571,12.169555989693198,10.987370550694427,21.0,27.428571428571427,6.232915134408364,8.140950379635411,4.0,3.0,4.228061645138786,3.1710462338540895,192.0,234.57142857142858,20.95744982764681,25.60426534002683,17.0,15.571428571428571,6.655157159578925,6.095900255412628,162.0,162.57142857142858,15.418468660534812,15.472854793376204
43,44,2020/04/27 14:00:00+00,114.0,1544,2548,1933,138.0,68.0,403,163.0,529,51.0,865.0,4.0,352,778.0,70.0,3843,5263,54.0,19.0,144.0,34.0,181.0,336.0,53.0,0.0,,2020-04-27 14:00:00+00:00,34.0,63.714285714285715,5.931291224654633,11.11494069830238,39.0,96.14285714285714,4.6044864226682405,11.350986675662,67.0,60.285714285714285,10.871470017459256,9.782005005048628,71.0,34.285714285714285,21.073189263952084,10.176187974544266,4.0,3.4285714285714284,4.228061645138786,3.6240528386903885,276.0,240.0,30.126334127242284,26.19681228455851,33.0,18.0,12.918834486241442,7.046636992495332,198.0,170.85714285714286,18.844795029542546,16.261453719576398
