,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,AACountyPop,ndate,AADailyCases,AA7Day,AADaily100K,AA100k7D,BaltCountyDailyCases,BaltimoreCounty7Day,BaltimoreCountyDaily100K,BaltimoreCounty100k7D,BaltimoreCityDC,BaltCity7Day,BaltCityDaily100k,BaltimoreCity100k7D,HowardDC,Howard7Day,HowardCountyDaily100K,HowardCounty100k7D,CalvertDC,Calvert7Day,CalvertDaily100k,Calvert100k7D,PGDC,PG7Day,PGDaily100k,PG100k7D,HarfordDC,Hardford7Day,Harford100kDaily,Hardford100k7D,MontgomeryDC,Montgomery7Day,Montgomery100kDaily,Montgomery100k7D
256,257,2020/11/26 15:00:00+00,2830.0,16114,28146,23682,1528.0,919.0,3174,1979.0,4184,988.0,6485.0,657.0,5805,7803.0,425.0,32259,40095,1049.0,810.0,2028.0,793.0,3982.0,3305.0,1440.0,0.0,,2020-11-26 15:00:00+00:00,175.0,169.0,30.528704832781198,29.48200638137156,366.0,341.85714285714283,43.21133412042503,40.36093776353517,321.0,271.2857142857143,52.08569963588689,44.01902252271883,165.0,99.57142857142857,48.97290462749428,29.553345909405635,7.0,14.0,7.399107878992876,14.798215757985753,305.0,359.14285714285717,33.291782278293105,39.20165838296434,91.0,100.42857142857143,35.624664795393066,39.31576036289062,254.0,280.14285714285717,24.174636047999023,26.662801625492737
257,258,2020/11/27 15:00:00+00,2962.0,16297,28504,23955,1537.0,938.0,3222,2023.0,4254,996.0,6575.0,682.0,5875,7917.0,428.0,32601,40479,1061.0,823.0,2063.0,801.0,4074.0,3348.0,1443.0,0.0,,2020-11-27 15:00:00+00:00,183.0,170.57142857142858,31.924302767994057,29.756141690074084,358.0,345.14285714285717,42.2668240850059,40.74886152808231,273.0,277.85714285714283,44.29718380248324,45.085307428482416,114.0,102.28571428571429,33.83582501535968,30.358960790723724,9.0,14.0,9.513138701562267,14.798215757985753,384.0,346.57142857142856,41.91489965529362,37.82944440615413,70.0,98.71428571428571,27.40358830414851,38.64465207789107,342.0,288.7142857142857,32.55010050557349,27.478593618113628
258,259,2020/11/28 15:00:00+00,3028.0,16404,28752,24120,1555.0,945.0,3254,2045.0,4276,998.0,6660.0,701.0,5940,7961.0,435.0,32790,40797,1074.0,886.0,2075.0,805.0,4116.0,3377.0,1454.0,0.0,,2020-11-28 15:00:00+00:00,107.0,158.57142857142858,18.666122383471933,27.662744787254802,248.0,309.85714285714283,29.279811097992916,36.582897621858656,165.0,236.28571428571428,26.773023177325033,38.33989639419533,44.0,88.71428571428571,13.059441233998474,26.33088638413329,18.0,14.142857142857142,19.026277403124535,14.949217959597851,318.0,338.42857142857144,34.71077627704002,36.94062398935661,65.0,85.14285714285714,25.446189139566474,33.33171148831125,189.0,272.57142857142856,17.988213437290614,25.942185365344283
259,260,2020/11/29 15:00:00+00,3093.0,16585,29008,24309,1583.0,952.0,3291,2078.0,4317,1004.0,6773.0,728.0,6026,8066.0,438.0,33103,41067,1083.0,910.0,2118.0,811.0,4240.0,3402.0,1462.0,0.0,,2020-11-29 15:00:00+00:00,181.0,159.14285714285714,31.57540328419084,27.76243035405572,256.0,291.57142857142856,30.224321133412044,34.42401754090066,189.0,230.0,30.66728109402686,37.31997170172581,105.0,95.42857142857143,31.164575672041813,28.32372319581487,28.0,16.428571428571427,29.596431515971503,17.365253185391445,270.0,338.2857142857143,29.471413820128323,36.92503064871104,86.0,80.71428571428571,33.66726563081103,31.598015085395733,313.0,275.2857142857143,29.790004263872813,26.2005194963409
260,261,2020/11/30 15:00:00+00,3168.0,16742,29315,24521,1598.0,972.0,3327,2109.0,4391,1011.0,6871.0,755.0,6099,8155.0,448.0,33400,41297,1097.0,918.0,2153.0,819.0,4281.0,3440.0,1483.0,0.0,,2020-11-30 15:00:00+00:00,157.0,165.0,27.38860947855228,28.78420741376513,307.0,298.85714285714283,36.24557260920898,35.28419632315736,212.0,227.0,34.39927826419944,36.83318946213808,89.0,95.28571428571429,26.41568795058782,28.281322412587603,15.0,16.857142857142858,15.855231169270448,17.81825979022774,230.0,330.2857142857143,25.10527843936857,36.05180357255909,73.0,80.28571428571429,28.578027802897736,31.430238014145846,297.0,287.2857142857143,28.267192544313822,27.342628286010147
261,262,2020/12/01 15:00:00+00,3366.0,16919,29645,24762,1611.0,983.0,3366,2156.0,4434,1021.0,6949.0,788.0,6160,8252.0,466.0,33905,41857,1108.0,1061.0,2174.0,824.0,4375.0,3462.0,1491.0,0.0,,2020-12-01 15:00:00+00:00,177.0,172.0,30.877604316584414,30.00535560707638,330.0,320.42857142857144,38.96103896103896,37.831000168662506,241.0,239.28571428571428,39.10483991354747,38.82667863378306,97.0,101.42857142857143,28.79013181131482,30.10455609136012,13.0,16.571428571428573,13.741200346701055,17.516255387003543,560.0,365.7142857142857,61.125895330636524,39.918952052660586,61.0,80.0,23.880269807900845,31.31838663331259,505.0,326.14285714285717,48.06374489858074,31.040885319224845
262,263,2020/12/02 15:00:00+00,3466.0,17166,29897,25006,1635.0,990.0,3415,2199.0,4502,1030.0,7123.0,817.0,6234,8343.0,467.0,34159,42190,1111.0,1102.0,2210.0,830.0,4469.0,3490.0,1504.0,0.0,,2020-12-02 15:00:00+00:00,247.0,175.28571428571428,43.08908624969689,30.57854761618166,252.0,302.42857142857144,29.75206611570248,35.70585258896947,244.0,235.0,39.591622153135205,38.13127543437202,91.0,100.71428571428571,27.009298915769573,29.89255217522378,24.0,16.285714285714285,25.36836987083272,17.214250983779344,333.0,342.85714285714283,36.348077044824926,37.424017549369296,74.0,74.28571428571429,28.96950763581414,29.0813590166474,254.0,307.7142857142857,24.174636047999023,29.28693253508993
263,264,2020/12/03 15:00:00+00,3597.0,17318,30187,25270,1660.0,1003.0,3442,2242.0,4522,1034.0,7249.0,874.0,6294,8410.0,472.0,34425,42458,1135.0,1117.0,2240.0,836.0,4570.0,3530.0,1514.0,0.0,,2020-12-03 15:00:00+00:00,152.0,172.0,26.51636076904424,30.00535560707638,290.0,291.57142857142856,34.23848878394333,34.42401754090066,264.0,226.85714285714286,42.836837083720056,36.81000935549104,67.0,86.71428571428571,19.88596733358859,25.737275418951537,25.0,18.857142857142858,26.425385282117414,19.932290612797136,268.0,337.57142857142856,29.253107051090332,36.847063945483185,60.0,69.85714285714286,23.48878997498444,27.34766261373188,266.0,309.42857142857144,25.316744837668274,29.450090933614113
264,265,2020/12/04 15:00:00+00,3900.0,17627,30671,25686,1687.0,1030.0,3517,2288.0,4593,1045.0,7425.0,915.0,6405,8561.0,486.0,35056,43000,1159.0,1127.0,2295.0,848.0,4764.0,3570.0,1536.0,0.0,,2020-12-04 15:00:00+00:00,309.0,190.0,53.904970247596516,33.1454509613053,484.0,309.57142857142856,57.142857142857146,36.54916512059369,416.0,247.28571428571428,67.50047055616494,40.124764606017,151.0,92.0,44.81762787122204,27.306104398360446,27.0,21.428571428571427,28.539416104686808,22.650330241814924,542.0,360.14285714285717,59.16113440929463,39.31081176748334,111.0,75.71428571428571,43.454261453721216,29.640615920813698,631.0,350.7142857142857,60.05588719010782,33.379489031404724
265,266,2020/12/05 15:00:00+00,3933.0,17958,31077,25952,1705.0,1039.0,3594,2347.0,4666,1061.0,7577.0,943.0,6519,8719.0,500.0,35538,43635,1191.0,1151.0,2335.0,872.0,4890.0,3619.0,1563.0,0.0,,2020-12-05 15:00:00+00:00,331.0,222.0,57.74286456943187,38.72784270215673,406.0,332.14285714285717,47.93388429752066,39.21403272052623,266.0,261.7142857142857,43.16135857677854,42.4659553773675,158.0,108.28571428571429,46.89526624935816,32.139793686268966,18.0,21.428571428571427,19.026277403124535,22.650330241814924,635.0,405.42857142857144,69.31239916956105,44.2539007521292,114.0,82.71428571428571,44.62870095247043,32.38097475122855,482.0,392.57142857142856,45.87470305171469,37.36327326203674
266,267,2020/12/06 15:00:00+00,4071.0,18193,31416,26194,1724.0,1047.0,3681,2391.0,4717,1085.0,7719.0,976.0,6574,8813.0,507.0,35998,44057,1205.0,1171.0,2395.0,880.0,4991.0,3640.0,1582.0,0.0,,2020-12-06 15:00:00+00:00,235.0,229.71428571428572,40.99568934687761,40.07359785396911,339.0,344.0,40.023612750885476,40.61393152302243,242.0,269.2857142857143,39.267100660076714,43.69450102966034,94.0,106.71428571428571,27.899715363542196,31.67338507076903,19.0,20.142857142857142,20.083292814409234,21.29131042730603,422.0,427.14285714285717,46.06272826701537,46.62408853025592,55.0,78.28571428571429,21.531390810402403,30.647278348313026,460.0,413.57142857142856,43.78083693732107,39.361963643957914
267,268,2020/12/07 15:00:00+00,4101.0,18429,31708,26419,1746.0,1065.0,3728,2435.0,4752,1085.0,7852.0,999.0,6634,8912.0,510.0,36449,44402,1222.0,1183.0,2419.0,892.0,5111.0,3681.0,1595.0,0.0,,2020-12-07 15:00:00+00:00,236.0,241.0,41.170139088779216,42.04238779828726,292.0,341.85714285714283,34.47461629279811,40.36093776353516,225.0,271.14285714285717,36.50866796907959,43.995842416071795,99.0,108.14285714285714,29.383742776496568,32.09739290304171,22.0,21.142857142857142,23.254339048263326,22.34832583859073,345.0,443.57142857142856,37.657917659052856,48.41732270449653,60.0,76.42857142857143,23.48878997498444,29.920244372896843,451.0,435.57142857142856,42.924255345069135,41.455829758351534
268,269,2020/12/08 15:00:00+00,4204.0,18646,32014,26593,1766.0,1086.0,3796,2514.0,4804,1091.0,7952.0,1024.0,6704,9004.0,513.0,36851,44894,1236.0,1351.0,2486.0,904.0,5190.0,3725.0,1613.0,0.0,,2020-12-08 15:00:00+00:00,217.0,246.71428571428572,37.855593992648686,43.03924346629643,306.0,338.42857142857144,36.12750885478158,39.95614774835554,174.0,261.57142857142856,28.233369896088217,42.44277527072046,92.0,107.42857142857143,27.306104398360446,31.885388986905365,20.0,22.142857142857142,21.140308225693932,23.405341249875423,492.0,433.85714285714283,53.703465183344946,47.35697554059773,70.0,77.71428571428571,27.40358830414851,30.42357558664651,402.0,420.85714285714283,38.26064445391972,40.055386837685674
269,270,2020/12/09 15:00:00+00,4321.0,18914,32387,26897,1801.0,1090.0,3843,2598.0,4886,1098.0,8074.0,1058.0,6769,9124.0,515.0,37194,45345,1250.0,1372.0,2539.0,910.0,5288.0,3747.0,1633.0,0.0,,2020-12-09 15:00:00+00:00,268.0,249.71428571428572,46.752530829630636,43.56259269200125,373.0,355.7142857142857,44.03778040141676,41.99696407488615,304.0,270.14285714285717,49.32726694488976,43.833581669542546,120.0,111.57142857142857,35.61665791090493,33.11501170049613,35.0,23.714285714285715,36.99553939496438,25.066365467608517,451.0,450.7142857142857,49.22817641806619,49.19698973677505,65.0,76.42857142857143,25.446189139566474,29.920244372896843,343.0,433.57142857142856,32.64527623804593,41.265478293406666
270,271,2020/12/10 15:00:00+00,4378.0,19255,32853,27197,1812.0,1104.0,3882,2644.0,4945,1129.0,8226.0,1095.0,6904,9280.0,523.0,37738,45871,1277.0,1380.0,2572.0,922.0,5425.0,3796.0,1647.0,0.0,,2020-12-10 15:00:00+00:00,341.0,276.7142857142857,59.48736198844794,48.27273572334463,466.0,380.85714285714283,55.017709563164104,44.9654241862034,300.0,275.2857142857143,48.67822395877279,44.668065508835795,156.0,124.28571428571429,46.301655284176405,36.88868140772296,11.0,21.714285714285715,11.627169524131663,22.952334645039123,526.0,487.57142857142856,57.414680256990735,53.22007162333226,135.0,87.14285714285714,52.84977744371499,34.11467115414406,544.0,473.2857142857143,51.775598465005785,45.04531452588345
271,272,2020/12/11 15:00:00+00,4441.0,19547,33125,27464,1822.0,1130.0,3934,2674.0,4994,1135.0,8363.0,1116.0,6978,9388.0,533.0,38190,46335,1315.0,1391.0,2608.0,931.0,5572.0,3824.0,1661.0,0.0,,2020-12-11 15:00:00+00:00,292.0,274.2857142857143,50.93932463526921,47.84907206444074,272.0,350.57142857142856,32.1133412042503,41.389779052116715,267.0,254.0,43.32361932330779,41.21422961842763,108.0,118.14285714285714,32.054992119814436,35.065447728950446,10.0,19.285714285714285,10.570154112846966,20.385297217633433,464.0,476.42857142857144,50.64717041681311,52.00379105297775,74.0,81.85714285714286,28.96950763581414,32.04542060872877,452.0,447.7142857142857,43.01943107754157,42.61153508123113
272,273,2020/12/12 15:00:00+00,4590.0,19866,33539,27796,1849.0,1148.0,4056,2785.0,5070,1152.0,8550.0,1146.0,7096,9536.0,550.0,38812,46877,1337.0,1411.0,2665.0,947.0,5679.0,3868.0,1684.0,0.0,,2020-12-12 15:00:00+00:00,319.0,272.57142857142856,55.64946766661259,47.55001536403798,414.0,351.7142857142857,48.87839433293979,41.524709057176594,332.0,263.42857142857144,53.87056784770855,42.74411665713192,148.0,116.71428571428571,43.927211423449414,34.64143989667777,27.0,20.571428571428573,28.539416104686808,21.74431703214233,542.0,463.14285714285717,59.16113440929463,50.553610372939694,118.0,82.42857142857143,46.194620284136064,32.26912337039529,622.0,467.7142857142857,59.199305597855876,44.51504973067987
273,274,2020/12/13 15:00:00+00,4612.0,20171,33850,28046,1867.0,1156.0,4140,2820.0,5142,1164.0,8687.0,1153.0,7192,9633.0,562.0,39316,47288,1346.0,1426.0,2686.0,959.0,5804.0,3921.0,1706.0,0.0,,2020-12-13 15:00:00+00:00,305.0,282.57142857142856,53.207171279990085,49.29451278305405,311.0,347.7142857142857,36.71782762691854,41.05245403946702,250.0,264.57142857142856,40.56518663231066,42.92955751030819,97.0,117.14285714285714,28.79013181131482,34.76864224635957,18.0,20.428571428571427,19.026277403124535,21.593314830530232,411.0,461.57142857142856,44.86204103730644,50.38208362583841,96.0,88.28571428571429,37.5820639599751,34.5620766774771,504.0,474.0,47.9685691661083,45.11329719193519
274,275,2020/12/14 15:00:00+00,4629.0,20389,34109,28270,1893.0,1171.0,4197,2868.0,5183,1175.0,8820.0,1161.0,7256,9711.0,575.0,39721,47682,1365.0,1429.0,2730.0,966.0,5974.0,3960.0,1727.0,0.0,,2020-12-14 15:00:00+00:00,218.0,280.0,38.0300437345503,48.845927732449915,259.0,343.0,30.578512396694215,40.49586776859504,224.0,264.42857142857144,36.34640722255035,42.90637740366117,78.0,114.14285714285714,23.150827642088203,33.878225798586946,26.0,21.0,27.48240069340211,22.19732363697863,394.0,468.57142857142856,43.006433500483546,51.14615731747137,64.0,88.85714285714286,25.054709306650068,34.78577943914362,405.0,467.42857142857144,38.54617165133703,44.487856664259176
275,276,2020/12/15 15:00:00+00,4737.0,20548,34407,28407,1916.0,1182.0,4260,2923.0,5234,1177.0,8966.0,1169.0,7357,9783.0,583.0,40062,48232,1368.0,1488.0,2765.0,972.0,6088.0,3990.0,1748.0,0.0,,2020-12-15 15:00:00+00:00,159.0,271.7142857142857,27.737508962355488,47.4004870138366,298.0,341.85714285714283,35.18299881936245,40.36093776353517,137.0,259.14285714285717,22.22972227450624,42.048713457720886,72.0,111.28571428571429,21.369994746542957,33.03021013404159,23.0,21.428571428571427,24.31135445954802,22.65033024181493,550.0,476.85714285714283,60.034361485446574,52.05057107491446,101.0,93.28571428571429,39.53946312455714,36.51947584205914,341.0,458.7142857142857,32.454924773101055,43.65846813842794
276,277,2020/12/16 15:00:00+00,4848.0,20730,34702,28586,1924.0,1187.0,4310,2948.0,5289,1182.0,9081.0,1227.0,7442,9855.0,589.0,40500,48718,1378.0,1504.0,2789.0,975.0,6213.0,4018.0,1772.0,0.0,,2020-12-16 15:00:00+00:00,182.0,259.42857142857144,31.749853026092445,45.25724732761687,295.0,330.7142857142857,34.828807556080285,39.045370214201384,179.0,241.28571428571428,29.044673628734433,39.151200126841545,72.0,104.42857142857143,21.369994746542957,30.994972539132743,8.0,17.571428571428573,8.456123290277572,18.573270798288238,486.0,481.85714285714283,53.04854487623098,52.59633799750942,85.0,96.14285714285714,33.27578579789462,37.63798965039173,438.0,472.2857142857143,41.68697082292746,44.95013879341101
277,278,2020/12/17 15:00:00+00,4919.0,20941,35002,28853,1939.0,1190.0,4410,2984.0,5322,1194.0,9241.0,1244.0,7514,9912.0,594.0,40747,49068,1386.0,1520.0,2827.0,986.0,6350.0,4054.0,1787.0,0.0,,2020-12-17 15:00:00+00:00,211.0,240.85714285714286,36.808895541239046,42.01746640658702,300.0,307.0,35.41912632821724,36.24557260920897,267.0,236.57142857142858,43.32361932330779,38.38625660748941,57.0,90.28571428571429,16.91791250767984,26.797294999633234,15.0,18.142857142857142,15.855231169270448,19.177279604736636,350.0,456.7142857142857,38.20368458164783,49.85191004388901,72.0,87.14285714285714,28.186547969981326,34.11467115414406,247.0,429.85714285714283,23.508405920691967,40.91196842993761
278,279,2020/12/18 15:00:00+00,4983.0,21223,35283,29020,1968.0,1195.0,4468,3024.0,5383,1212.0,9380.0,1258.0,7590,10027.0,613.0,41172,49565,1406.0,1549.0,2867.0,999.0,6457.0,4095.0,1816.0,0.0,,2020-12-18 15:00:00+00:00,282.0,239.42857142857142,49.19482721625313,41.768252489584725,281.0,308.2857142857143,33.175914994096814,36.39736886490133,167.0,222.28571428571428,27.097544670383517,36.068245942785936,115.0,91.28571428571429,34.13263049795056,27.09410048222411,29.0,20.857142857142858,30.6534469272562,22.04632143536653,497.0,461.42857142857144,54.24923210593991,50.36649028519285,76.0,87.42857142857143,29.752467301646956,34.22652253497733,425.0,426.0,40.44968630078577,40.544862033258205
279,280,2020/12/19 15:00:00+00,5006.0,21455,35531,29156,1975.0,1205.0,4540,3091.0,5445,1224.0,9516.0,1291.0,7651,10116.0,621.0,41486,49982,1438.0,1575.0,2883.0,1009.0,6582.0,4134.0,1842.0,0.0,,2020-12-19 15:00:00+00:00,232.0,227.0,40.47234012117279,39.600091411664756,248.0,284.57142857142856,29.279811097992916,33.59757125990892,136.0,194.28571428571428,22.067461527977,31.52494503996714,89.0,82.85714285714286,26.41568795058782,24.59245427181531,7.0,18.0,7.399107878992876,19.02627740312454,417.0,443.57142857142856,45.51696134442041,48.41732270449653,61.0,79.28571428571429,23.880269807900845,31.038758181229436,314.0,382.0,29.88517999634525,36.35712980447098
280,281,2020/12/20 15:00:00+00,5050.0,21674,35819,29331,1994.0,1215.0,4594,3146.0,5492,1257.0,9613.0,1306.0,7750,10196.0,630.0,41780,50319,1449.0,1577.0,2923.0,1018.0,6628.0,4184.0,1863.0,0.0,,2020-12-20 15:00:00+00:00,219.0,214.71428571428572,38.2044934764519,37.45685172544501,288.0,281.2857142857143,34.002361275088546,33.20964749536178,175.0,183.57142857142858,28.395630642617462,29.78643704143954,80.0,80.42857142857143,23.744438607269952,23.871640956951758,19.0,18.142857142857142,20.083292814409234,19.177279604736636,337.0,433.0,36.7846905829009,47.263415496724306,99.0,79.71428571428571,38.756503458724325,31.206535252479323,294.0,352.0,27.98166534689651,33.50185783029786
281,282,2020/12/21 15:00:00+00,5071.0,21924,36058,29578,2015.0,1218.0,4641,3193.0,5535,1266.0,9763.0,1312.0,7826,10284.0,646.0,42171,50643,1462.0,1579.0,2946.0,1030.0,6799.0,4233.0,1880.0,0.0,,2020-12-21 15:00:00+00:00,250.0,219.28571428571428,43.61243547540172,38.25433625985236,239.0,278.42857142857144,28.217237308146398,32.87232248271209,247.0,186.85714285714286,40.07840439272293,30.31957949432134,88.0,81.85714285714286,26.118882467996947,24.295648789224433,21.0,17.428571428571427,22.197323636978627,18.42226859667614,324.0,423.0,35.36569658415399,46.17188165153437,76.0,81.42857142857143,29.752467301646956,31.877643537478882,391.0,350.0,37.21371139672291,33.31150636535299
282,283,2020/12/22 15:00:00+00,5123.0,22120,36334,29865,2032.0,1231.0,4705,3256.0,5592,1281.0,9876.0,1325.0,7911,10370.0,661.0,42551,51006,1478.0,1617.0,2958.0,1046.0,6885.0,4271.0,1903.0,0.0,,2020-12-22 15:00:00+00:00,196.0,224.57142857142858,34.19214941271494,39.17642775276085,276.0,275.2857142857143,32.58559622195986,32.501264968797436,287.0,208.28571428571428,46.56883425389263,33.79659549137654,86.0,83.85714285714286,25.5252715028152,24.889259754406186,17.0,16.571428571428573,17.969261991839844,17.516255387003543,363.0,396.2857142857143,39.62267858039474,43.25592695081268,85.0,79.14285714285714,33.27578579789462,30.982832490812807,380.0,355.57142857142856,36.166778339526104,33.84177116055657
283,284,2020/12/23 15:00:00+00,5172.0,22366,36582,30080,2055.0,1232.0,4763,3270.0,5664,1290.0,10065.0,1339.0,7979,10463.0,664.0,42975,51462,1495.0,1630.0,2982.0,1055.0,7024.0,4319.0,1936.0,0.0,,2020-12-23 15:00:00+00:00,246.0,233.71428571428572,42.91463650779529,40.77139682157554,248.0,268.57142857142856,29.279811097992916,31.70855118907067,215.0,213.42857142857142,34.88606050378717,34.631079330669785,93.0,86.85714285714286,27.60290988095132,25.779676202178802,23.0,18.714285714285715,24.31135445954802,19.781288411185038,456.0,392.0,49.77394334066117,42.788126731445566,68.0,76.71428571428571,26.6206286383157,30.0320957537301,424.0,353.57142857142856,40.35451056831334,33.65141969561169
284,285,2020/12/24 15:00:00+00,5204.0,22710,36897,30290,2074.0,1241.0,4822,3316.0,5717,1295.0,10288.0,1358.0,8060,10604.0,674.0,43454,51912,1507.0,1642.0,3046.0,1065.0,7214.0,4362.0,1976.0,0.0,,2020-12-24 15:00:00+00:00,344.0,252.71428571428572,60.010711214152764,44.08594191770607,315.0,270.7142857142857,37.1900826446281,31.961544948557933,210.0,205.28571428571428,34.074756771140954,33.30981325178881,141.0,98.85714285714286,41.84957304531329,29.3413419932693,19.0,19.285714285714285,20.083292814409234,20.385297217633433,450.0,406.2857142857143,49.1190230335472,44.34746079600262,81.0,78.0,31.70986646622899,30.53542696747977,479.0,386.7142857142857,45.58917585429737,36.80581540041247
285,286,2020/12/25 15:00:00+00,5248.0,22981,37098,30440,2105.0,1260.0,4865,3361.0,5768,1301.0,10473.0,1392.0,8112,10719.0,681.0,43918,52363,1531.0,1655.0,3064.0,1071.0,7342.0,4408.0,2004.0,0.0,,2020-12-25 15:00:00+00:00,271.0,251.14285714285714,47.27588005533546,43.811806609003554,201.0,259.2857142857143,23.73081463990555,30.612244897959183,150.0,202.85714285714286,24.339111979386395,32.91575143878922,115.0,98.85714285714286,34.13263049795056,29.3413419932693,31.0,19.571428571428573,32.76747774982559,20.68730162085763,451.0,399.7142857142857,49.22817641806619,43.630167126306375,52.0,74.57142857142857,20.35695131165318,29.19321039748066,464.0,392.2857142857143,44.16153986721082,37.33608019561604
286,287,2020/12/26 15:00:00+00,5261.0,23253,37356,30612,2124.0,1263.0,4906,3425.0,5809,1308.0,10575.0,1404.0,8194,10769.0,688.0,44287,52767,1543.0,1684.0,3106.0,1094.0,7537.0,4447.0,2028.0,0.0,,2020-12-26 15:00:00+00:00,272.0,256.85714285714283,47.45032979723707,44.808662277012736,258.0,260.7142857142857,30.460448642266826,30.78090740428403,172.0,208.0,27.908848403029733,33.75023527808247,50.0,93.28571428571429,14.84027412954372,27.687711447405857,19.0,21.285714285714285,20.083292814409234,22.499328040202823,404.0,397.85714285714283,44.09796734567349,43.427453697913954,82.0,77.57142857142857,32.1013462991454,30.36764989622988,369.0,400.14285714285717,35.119845282329294,38.083889522185196
287,288,2020/12/27 15:00:00+00,5269.0,23408,37549,30777,2153.0,1275.0,4944,3447.0,5853,1319.0,10670.0,1414.0,8253,10822.0,695.0,44640,53043,1560.0,1690.0,3129.0,1104.0,7642.0,4480.0,2062.0,0.0,,2020-12-27 15:00:00+00:00,155.0,247.71428571428572,27.039709994749064,43.21369320819804,193.0,247.14285714285714,22.786304604486425,29.17861359419801,165.0,206.57142857142858,26.773023177325033,33.518434211612124,53.0,89.42857142857143,15.730690577316343,26.542890300269622,29.0,22.714285714285715,30.6534469272562,24.00935005632382,276.0,389.14285714285717,30.126334127242284,42.476259918534154,59.0,71.85714285714286,23.097310142068032,28.130622279564697,353.0,408.57142857142856,33.5970335627703,38.88608498159574
288,289,2020/12/28 15:00:00+00,5276.0,23634,37799,30989,2164.0,1281.0,4970,3470.0,5892,1323.0,10788.0,1421.0,8323,10898.0,713.0,45050,53338,1576.0,1697.0,3144.0,1121.0,7730.0,4515.0,2071.0,0.0,,2020-12-28 15:00:00+00:00,226.0,244.28571428571428,39.425641669763145,42.61557980739253,250.0,248.71428571428572,29.515938606847698,29.36414235115534,212.0,201.57142857142858,34.39927826419944,32.70713047896591,76.0,87.71428571428571,22.557216676906457,26.034080901542413,11.0,21.285714285714285,11.627169524131663,22.499328040202823,295.0,385.0,32.20024843310316,42.0240530398126,70.0,71.0,27.40358830414851,27.79506813706492,410.0,411.2857142857143,39.02205031369921,39.144419112592345
289,290,2020/12/29 15:00:00+00,5324.0,23789,37971,31123,2186.0,1288.0,5053,3506.0,5922,1334.0,10891.0,1424.0,8371,10986.0,718.0,45341,53692,1591.0,1771.0,3174.0,1133.0,7827.0,4559.0,2087.0,0.0,,2020-12-29 15:00:00+00:00,155.0,238.42857142857142,27.039709994749064,41.59380274768313,172.0,233.85714285714286,20.306965761511215,27.61005228537696,134.0,179.71428571428572,21.74294003491851,29.160574161969603,88.0,88.0,26.118882467996947,26.118882467996947,22.0,22.0,23.254339048263326,23.254339048263326,354.0,383.7142857142857,38.640298119723795,41.88371297400248,48.0,65.71428571428571,18.79103197998755,25.72581759164962,291.0,398.57142857142856,27.696138149479196,37.93432765687136
290,291,2020/12/30 15:00:00+00,5374.0,24045,38280,31312,2205.0,1295.0,5101,3535.0,5987,1337.0,11100.0,1439.0,8475,11088.0,722.0,45791,54127,1614.0,1781.0,3202.0,1135.0,8005.0,4617.0,2122.0,0.0,,2020-12-30 15:00:00+00:00,256.0,239.85714285714286,44.65913392681135,41.843016664685415,309.0,242.57142857142858,36.481700118063756,28.638893573958512,189.0,176.0,30.66728109402686,28.5578913891467,102.0,89.28571428571429,30.274159224269187,26.50048951704236,19.0,21.428571428571427,20.083292814409234,22.650330241814924,435.0,380.7142857142857,47.48172226576229,41.556252820445486,104.0,70.85714285714286,40.71390262330636,27.73914244664829,450.0,402.2857142857143,42.82907961259669,38.28783752034041
291,292,2020/12/31 15:00:00+00,5404.0,24408,38657,31537,2231.0,1319.0,5168,3568.0,6036,1372.0,11301.0,1456.0,8551,11222.0,737.0,46200,54581,1664.0,1792.0,3255.0,1164.0,8206.0,4675.0,2158.0,0.0,,2020-12-31 15:00:00+00:00,363.0,242.57142857142858,63.32525631028329,42.31652310698978,377.0,251.42857142857142,44.510035419126325,29.684601113172544,225.0,178.14285714285714,36.50866796907959,28.905592988852224,134.0,88.28571428571429,39.77193466717718,26.20368403445148,26.0,22.428571428571427,27.48240069340211,23.70734565309962,454.0,381.2857142857143,49.55563657162318,41.618626183027764,76.0,70.14285714285714,29.752467301646956,27.45951399456514,409.0,392.2857142857143,38.92687458122678,37.33608019561604
292,293,2021/01/01 15:00:00+00,5474.0,24815,39001,31911,2268.0,1341.0,5249,3620.0,6116,1382.0,11518.0,1487.0,8660,11363.0,742.0,46717,55139,1701.0,1816.0,3308.0,1185.0,8432.0,4752.0,2222.0,0.0,,2021-01-01 15:00:00+00:00,407.0,262.0,71.001044953954,45.70583237822099,344.0,271.85714285714283,40.61393152302243,32.09647495361781,374.0,210.14285714285714,60.68551920193674,34.09793687778798,141.0,92.0,41.84957304531329,27.306104398360446,37.0,23.285714285714285,39.10957021753377,24.613358862772223,558.0,396.57142857142856,60.90758856159853,43.28711363210382,109.0,78.28571428571429,42.671301787888396,30.64727834831303,517.0,399.85714285714283,49.20585368824998,38.056696455764495
