DATE,OBJECTID,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown,schoolKids,Age_0_to_9_daily,Age_10_to_19_daily,Age_20_to_29_daily,Age_30_to_39_daily,Age_40_to_49_daily,Age_50_to_59_daily,Age_60_to_69_daily,Age_70_to_79_daily,Age_80plus_daily,schoolKidsDaily,tenderAge,teenagers,20s,30s,40s,50s,60s,70s,80Plus,schoolKids7D,0_9daily100k,10_19daily100k,20_29daily100k,30_39daily100k,40_49daily100k,50_59daily100k,60_69daily100k,70_79daily100k,80plusdaily100k,schoolKidsdaily100K,0_97D100k,10_197D100k,20_297D100k,30_397D100k,40_497D100k,50_597D100k,60_697D100k,70_797D100k,80plus7D100k,schoolKids7D100K
2021-04-14 14:00:00+00:00,382,22833,43006,78970,73714,64568,64579,43270,23997,15414,0.0,65839,168.0,212.0,313.0,254.0,209.0,227.0,120.0,41.0,8.0,380.0,124.71428571428571,205.14285714285714,275.42857142857144,241.14285714285714,190.14285714285714,196.28571428571428,108.42857142857143,44.142857142857146,18.142857142857142,329.85714285714283,23.09891146379727,27.23475977528754,39.083815429491175,30.0731582854511,27.689674268740877,26.657334642321985,16.527149975622454,9.57948401628045,3.474997393751955,25.237028831313044,17.14740621419644,26.353851103310586,34.392330510296205,28.55089493016955,25.191357793365757,23.05045802300214,14.933460513687432,10.313799864218323,7.880797660830327,21.906879538158574
2021-04-15 14:00:00+00:00,383,22961,43207,79264,73954,64762,64780,43386,24043,15438,0.0,66168,128.0,201.0,294.0,240.0,194.0,201.0,116.0,46.0,24.0,329.0,130.0,209.42857142857142,282.0,241.42857142857142,191.71428571428572,198.14285714285714,110.57142857142857,44.0,17.285714285714285,339.42857142857144,17.59917063908363,25.821635447324503,36.71131545134315,28.4155826319223,25.70237707241976,23.604071643641934,15.976244976435039,10.747713774363431,10.424992181255865,21.849953909215767,17.874157680319314,26.90441902329618,35.21289441251282,28.584723004731362,25.39955083298035,23.268548237193574,15.228588191823548,10.280421871130239,7.508476511499759,22.542549061353302
2021-04-16 14:00:00+00:00,384,23112,43420,79595,74210,64986,64998,43499,24089,15450,0.0,66532,151.0,213.0,331.0,256.0,224.0,218.0,113.0,46.0,12.0,364.0,126.57142857142857,199.57142857142858,277.85714285714283,234.71428571428572,191.71428571428572,191.14285714285714,104.42857142857143,43.714285714285715,15.428571428571429,326.14285714285717,20.761521613293976,27.36322562328418,41.331446987736676,30.309954807383786,29.67697146506199,25.600435912009655,15.563066227044478,10.747713774363431,5.2124960906279325,24.174417091047232,17.40275132391529,25.638112807329303,34.69558238720235,27.789763252528775,25.39955083298035,22.446515891395098,14.382555514500014,10.213665884954068,6.701780687950199,21.66020181273973
2021-04-17 14:00:00+00:00,385,23240,43698,79873,74458,65164,65235,43607,24122,15462,0.0,66938,128.0,278.0,278.0,248.0,178.0,237.0,108.0,33.0,12.0,406.0,125.57142857142857,206.0,272.0,226.57142857142858,188.14285714285714,194.14285714285714,106.28571428571429,41.857142857142854,12.571428571428571,331.57142857142856,17.59917063908363,35.71350574306574,34.713420732902705,29.362768719653044,23.582593396343903,27.831666564891233,14.874434978060208,7.710316403347679,5.2124960906279325,26.963772909244987,17.265257803297448,26.463964687307705,33.96421021348754,26.825663127517124,24.926384833856275,22.798815468165873,14.638332835551315,9.77975197480896,5.4607101901816435,22.0207307960442
2021-04-18 14:00:00+00:00,386,23378,43863,80081,74652,65324,65382,43701,24168,15479,0.0,67241,138.0,165.0,208.0,194.0,160.0,147.0,94.0,46.0,17.0,303.0,125.0,198.42857142857142,262.7142857142857,218.14285714285714,180.28571428571428,185.71428571428572,104.28571428571429,41.0,12.714285714285714,323.42857142857144,18.97410584526204,21.196864919445492,25.972631339725762,22.969262627470528,21.197836760758566,17.26267926176798,12.946267480904256,10.747713774363431,7.384369461722904,20.12320983128382,17.18669007723011,25.49129469533315,32.804717742964066,25.827734927943663,23.88541963578331,21.809021419143217,14.362880335957609,9.57948401628045,5.522763715070071,21.479937321087494
2021-04-19 14:00:00+00:00,387,23447,43945,80180,74754,65428,65459,43758,24194,15494,0.0,67392,69.0,82.0,99.0,102.0,104.0,77.0,57.0,26.0,15.0,151.0,121.85714285714286,188.71428571428572,251.0,209.0,174.71428571428572,178.85714285714286,100.14285714285714,40.0,13.428571428571429,310.57142857142856,9.48705292263102,10.534199535724426,12.361973570350242,12.076622618566978,13.778593894493067,9.042355803783227,7.850396238420666,6.0747947420315045,6.515620113284916,10.028398298758605,16.754567583859753,24.243340743365795,31.34197339553446,24.74523654196567,23.147280677149755,21.003765243667164,13.792300158227786,9.345838064663853,5.83303133951221,20.62605288694532
2021-04-20 14:00:00+00:00,388,23518,44078,80332,74939,65559,65582,43836,24230,15510,0.0,67596,71.0,133.0,152.0,185.0,131.0,123.0,78.0,36.0,16.0,204.0,121.85714285714286,183.42857142857142,239.28571428571428,211.28571428571428,171.42857142857142,175.71428571428572,98.0,39.142857142857146,14.857142857142858,305.2857142857143,9.762039963866702,17.08595778355303,18.979999825184212,21.90367827877344,17.355728847871074,14.44428264760178,10.742647484154595,8.411254258197468,6.94999478750391,13.548299688389108,16.754567583859753,23.564306975383563,29.87922904810485,25.015861138460167,22.711967957955604,20.63468949657397,13.497172480091669,9.145570106135342,6.453566588396488,20.27501150846465
2021-04-21 14:00:00+00:00,389,23645,44251,80524,75154,65724,65758,43934,24270,15529,0.0,67896,127.0,173.0,192.0,215.0,165.0,176.0,98.0,40.0,19.0,300.0,116.0,177.85714285714286,222.0,205.71428571428572,165.14285714285714,168.42857142857142,94.85714285714286,39.0,16.428571428571427,293.85714285714283,17.461677118465794,22.224591703418604,23.97473662128532,25.455626107763727,21.860269159532272,20.668241837218808,13.497172480091672,9.345838064663853,8.253118810160894,19.92397012998398,15.949248391669542,22.84856867940228,27.72078921836115,24.35621368450483,21.879195799497236,19.77910481013066,13.064318552158701,9.112192113047257,7.136155362169193,19.5160031225605
2021-04-22 14:00:00+00:00,390,23784,44423,80728,75351,65904,65923,44034,24303,15542,0.0,68207,139.0,172.0,204.0,197.0,180.0,165.0,100.0,33.0,13.0,311.0,117.57142857142857,173.71428571428572,209.14285714285714,199.57142857142858,163.14285714285714,163.28571428571428,92.57142857142857,37.142857142857146,14.857142857142858,291.2857142857143,19.111599365879883,22.096125855421967,25.473157660115653,23.324457410369558,23.847566355853385,19.37647672239263,13.772624979685379,7.710316403347679,5.646870764846926,20.654515701416727,16.16530963835472,22.316353023416205,26.11533810532865,23.628910081425865,21.61422283998775,19.175162678523616,12.749515695480179,8.678278202902149,6.453566588396488,19.345226235732067
2021-04-23 14:00:00+00:00,391,23915,44610,80968,75544,66038,66065,44124,24331,15560,0.0,68525,131.0,187.0,240.0,193.0,134.0,142.0,90.0,28.0,18.0,318.0,114.71428571428571,170.0,196.14285714285714,190.57142857142858,150.28571428571428,152.42857142857142,89.28571428571429,34.57142857142857,15.714285714285714,284.7142857142857,18.011651200937155,24.023113575371553,29.96842077660665,22.850864366504187,17.7531882871353,16.675513300483356,12.395362481716841,6.542086645264697,7.818744135941898,21.119408337783018,15.772471008018032,21.839194159428683,24.492048646595794,22.56332573272878,19.91082524314108,17.90017373401986,12.296986589004803,8.077474327316617,6.8258877377270535,18.908796413837177
