,date,cases,deaths,CasesDaily,Cases7D,DailyCases100k,Cases100k7D,TotalCasesPast7Days,DailyDeaths,Deaths7D,DailyDeaths100k,Deaths100k7D,Cases100k7DDiff,TotalCasespast7days100k
72,2020-04-02,245108,6541,29717.0,22791.14285714286,9.053449666388895,6.9434486891887355,159538.0,1216.0,741.1428571428571,0.37046117691317754,0.2257933019061989,0.55355917635793,48.60414082432115
73,2020-04-03,277426,7932,32318.0,24932.285714285714,9.845858812072427,7.595759793462079,174526.0,1391.0,880.2857142857143,0.42377590220907063,0.26818394879452534,0.6523111042733438,53.17031855423455
74,2020-04-04,312525,9488,35099.0,26937.0,10.693105960917448,8.206507173116991,188559.0,1556.0,1026.857142857143,0.47404407177376995,0.31283775136888153,0.6107473796549119,57.44555021181895
75,2020-04-05,338141,10856,25616.0,27950.714285714286,7.804057161026279,8.51534087981059,195655.0,1368.0,1162.5714285714287,0.41676882402732474,0.35418386486365583,0.30883370669359955,59.60738615867413
76,2020-04-06,369057,12382,30916.0,29300.285714285714,9.418731698559043,8.926495336847571,205102.0,1526.0,1287.7142857142858,0.4649044045801882,0.3923093337283109,0.4111544570369805,62.48546735793301
77,2020-04-07,399394,14616,30337.0,30133.285714285714,9.242336121722916,9.180273429256022,210933.0,2234.0,1473.142857142857,0.6806005503487159,0.4488011814295919,0.2537780924084512,64.26191400479217
78,2020-04-08,431214,16701,31820.0,30831.85714285714,9.694140336658972,9.393097108192283,215823.0,2085.0,1625.142857142857,0.635206869953927,0.4951088285437391,0.2128236789362603,65.75167975734598
79,2020-04-09,465913,18821,34699.0,31543.571428571428,10.571243731669693,9.609924831803825,220805.0,2120.0,1754.2857142857142,0.6458698150131056,0.5344529197008717,0.21682772361154257,67.26947382262678
80,2020-04-10,499386,21084,33473.0,31708.571428571428,10.197735999025321,9.660193001368524,221960.0,2263.0,1878.857142857143,0.6894355619691782,0.5724042996666013,0.05026816956469915,67.62135100957967
81,2020-04-11,531106,23168,31720.0,31225.85714285714,9.663674779347032,9.513131404001323,218581.0,2084.0,1954.2857142857142,0.6349022143808075,0.5953840343247496,-0.1470615973672018,66.59191982800925
82,2020-04-12,558249,24849,27143.0,31444.0,8.269266221179587,9.579589841166081,220108.0,1681.0,1999.0,0.5121260184136935,0.6090064906656594,0.06645843716475852,67.05712888816257
83,2020-04-13,584018,26613,25769.0,30708.714285714286,7.850669463713546,9.355580950473867,214961.0,1764.0,2033.0,0.5374124309826029,0.6193647801517186,-0.22400889069221464,65.48906665331707
84,2020-04-14,610709,29318,26691.0,30187.85714285714,8.131561902129622,9.196898919103395,211315.0,2705.0,2100.285714285714,0.8240933252879483,0.6398637480001804,-0.15868203137047132,64.37829243372377
85,2020-04-15,640742,32070,30033.0,29932.571428571428,9.149720827494622,9.119124703508488,209528.0,2752.0,2195.5714285714284,0.8384121372245598,0.6688930718959851,-0.07777421559490705,63.83387292455943
