,Date,Acute,ICU,Year,Total,Population,AcuteDaily,Acute7Day,AcuteDaily100k,Acute100k7D,ICUDaily,ICU7Day,ICUDaily100K,ICU100k7D,TotalDaily,Total7Day,TotalDaily100k,Total100k7D
35,2022-06-18,25.0,5,22.0,30.0,590336.0,25.0,26.857142857142858,4.234876409366869,4.549467228348408,5,3.0,0.8469752818733738,4.549467228348408,30.0,29.857142857142858,5.081851691240243,5.057652397472432
36,2022-06-19,25.0,5,22.0,30.0,590336.0,25.0,26.428571428571427,4.234876409366869,4.476869347044976,5,3.4285714285714284,0.8469752818733738,4.476869347044976,30.0,29.857142857142858,5.081851691240243,5.057652397472432
37,2022-06-20,23.0,5,22.0,28.0,590336.0,23.0,25.857142857142858,3.89608629661752,4.380072171973733,5,3.5714285714285716,0.8469752818733738,4.380072171973733,28.0,29.428571428571427,4.743061578490893,4.985054516169001
38,2022-06-21,23.0,4,22.0,27.0,590336.0,23.0,24.857142857142858,3.89608629661752,4.210677115599059,4,3.857142857142857,0.677580225498699,4.210677115599059,27.0,28.714285714285715,4.573666522116218,4.864058047329947
39,2022-06-22,25.0,6,22.0,31.0,590336.0,25.0,25.0,4.234876409366869,4.234876409366869,6,4.142857142857143,1.0163703382480487,4.234876409366869,31.0,29.142857142857142,5.251246747614918,4.936655928633379
40,2022-06-23,27.0,4,22.0,31.0,590336.0,27.0,25.142857142857142,4.573666522116218,4.2590757031346795,4,4.428571428571429,0.677580225498699,4.2590757031346795,31.0,29.571428571428573,5.251246747614918,5.00925380993681
41,2022-06-24,28.0,3,22.0,31.0,590336.0,28.0,25.142857142857142,4.743061578490893,4.2590757031346795,3,4.571428571428571,0.5081851691240243,4.2590757031346795,31.0,29.714285714285715,5.251246747614918,5.0334531037046215
42,2022-06-25,23.0,3,22.0,26.0,590336.0,23.0,24.857142857142858,3.89608629661752,4.210677115599059,3,4.285714285714286,0.5081851691240243,4.210677115599059,26.0,29.142857142857142,4.404271465741544,4.936655928633378
43,2022-06-26,23.0,4,22.0,27.0,590336.0,23.0,24.571428571428573,3.89608629661752,4.162278528063437,4,4.142857142857143,0.677580225498699,4.162278528063437,27.0,28.714285714285715,4.573666522116218,4.864058047329947
44,2022-06-27,19.0,5,22.0,24.0,590336.0,19.0,24.0,3.2185060711188203,4.065481352992195,5,4.142857142857143,0.8469752818733738,4.065481352992195,24.0,28.142857142857142,4.065481352992195,4.767260872258704
