,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,ndate,AADailyCases,AA7Day,AADaily100k1,AA100k7D-County_2019,AADaily100k2,AA100k7D-2019Census,AADaily100k3,AA100k7D-2020Census
15,16,2020/03/30 10:00:00+00,0,110,186,152,12,4,82,13,33,0,26,3,24,96,3,341,294,4,1,9,4,7,6,3,0,2020-03-30 10:00:00+00:00,11.0,12.857142857142858,1.8977623656470506,2.2181638040030465,1.899059792760784,2.219680277252864,1.8699182845709643,2.185618774173854
16,17,2020/03/31 10:00:00+00,0,127,227,187,15,4,92,14,40,0,33,3,25,117,3,388,341,4,1,15,3,11,7,3,0,2020-03-31 10:00:00+00:00,17.0,14.714285714285714,2.9329054741818057,2.538565242359042,2.9349105888121207,2.540300761744945,2.8898737125187632,2.501319263776744
17,18,2020/04/01 10:00:00+00,0,158,289,221,18,4,96,16,56,1,35,3,34,142,3,447,403,7,4,19,3,15,7,4,0,2020-04-01 10:00:00+00:00,31.0,18.142857142857142,5.348239394096233,3.1300755900931874,5.351895779598573,3.1322155023457086,5.269769711063627,3.0841509368897726
18,19,2020/04/02 10:00:00+00,1,206,353,265,22,4,105,20,69,1,45,3,37,152,5,498,473,8,4,27,4,17,7,5,0,2020-04-02 10:00:00+00:00,48.0,23.571428571428573,8.28114486827804,4.066633640672252,8.286806368410694,4.069413841630252,8.15964342358239,4.006967752652066
19,20,2020/04/03 10:00:00+00,2,249,427,313,30,4,129,25,90,1,54,3,41,166,5,566,563,12,4,30,5,27,7,5,0,2020-04-03 10:00:00+00:00,43.0,26.571428571428573,7.418525611165743,4.584205194939629,7.423597371701247,4.58733923965592,7.309680566959225,4.516945466625965
20,21,2020/04/04 10:00:00+00,3,289,491,343,33,4,134,33,95,1,73,3,44,180,5,640,653,13,4,34,6,29,8,7,0,2020-04-04 10:00:00+00:00,40.0,28.714285714285715,6.9009540568983665,4.953899162273471,6.905671973675579,4.9572859525313975,6.799702852985325,4.881215262321609
21,22,2020/04/05 10:00:00+00,6,319,590,394,39,4,142,36,111,1,112,3,52,199,5,693,785,13,4,40,7,34,11,9,0,2020-04-05 10:00:00+00:00,30.0,31.428571428571427,5.175715542673775,5.422178187563001,5.179253980256684,5.425885122173669,5.099777139738993,5.342623670202755
22,23,2020/04/06 10:00:00+00,6,343,648,435,40,6,150,37,129,1,138,3,55,214,5,793,916,15,4,41,8,37,11,10,0,2020-04-06 10:00:00+00:00,24.0,33.285714285714285,4.14057243413902,5.7425796259189985,4.143403184205347,5.74650560666575,4.079821711791195,5.6583241598056455
23,24,2020/04/07 10:00:00+00,7,370,652,459,41,11,159,41,136,3,151,3,59,236,8,871,1020,15,4,46,8,44,17,10,0,2020-04-07 10:00:00+00:00,27.0,34.714285714285715,4.6581439884063975,5.989042270808225,4.6613285822310155,5.993136748582734,4.589799425765094,5.901170690269407
24,25,2020/04/08 10:00:00+00,6,466,866,571,56,11,186,49,164,4,199,5,86,274,9,1088,1310,16,4,62,10,57,20,10,0,2020-04-08 10:00:00+00:00,96.0,44.0,16.56228973655608,7.591049462588203,16.57361273682139,7.596239171043137,16.31928684716478,7.479673138283857
25,26,2020/04/09 10:00:00+00,8,505,979,638,66,12,203,54,180,7,233,5,101,299,9,1214,1476,17,4,65,13,60,21,16,0,2020-04-09 10:00:00+00:00,39.0,42.714285714285715,6.728430205475907,7.369233082187899,6.733030174333689,7.37427114331785,6.629710281660691,7.261111260866471
26,27,2020/04/10 10:00:00+00,10,554,1072,689,76,12,214,64,220,7,289,4,110,319,9,1388,1716,17,4,71,13,66,28,16,0,2020-04-10 10:00:00+00:00,49.0,43.57142857142857,8.453668719700499,7.517110669121435,8.459448167752583,7.52224982846804,8.329635994907022,7.406819179144729
27,28,2020/04/11 10:00:00+00,11,615,1173,756,82,15,214,66,235,8,341,4,120,351,10,1537,1923,19,4,73,13,72,33,19,0,2020-04-11 10:00:00+00:00,61.0,46.57142857142857,10.523954936770009,8.034682223388812,10.531149759855257,8.040175226493709,10.36954685080262,7.916796893118628
28,29,2020/04/12 10:00:00+00,13,659,1257,812,90,17,236,74,253,9,368,4,129,371,11,1631,2035,19,4,82,14,75,42,20,0,2020-04-12 10:00:00+00:00,44.0,48.57142857142857,7.591049462588202,8.37972992623373,7.596239171043136,8.385458825177489,7.479673138283857,8.256782035767895
29,30,2020/04/13 10:00:00+00,15,724,1361,873,94,21,250,83,274,12,417,4,142,386,11,1756,2205,19,6,95,16,93,58,21,0,2020-04-13 10:00:00+00:00,65.0,54.42857142857143,11.214050342459846,9.390226770279563,11.221716957222815,9.396646507037127,11.049517136101153,9.252452810669316
30,31,2020/04/14 10:00:00+00,17,783,1377,962,99,21,259,85,292,14,441,4,147,403,11,1883,2356,19,5,98,16,96,63,21,0,2020-04-14 10:00:00+00:00,59.0,59.0,10.178907233925091,10.17890723392509,10.185866161171479,10.185866161171479,10.029561708153354,10.029561708153354
31,32,2020/04/15 10:00:00+00,17,845,1485,1060,102,22,262,90,310,16,442,4,152,424,11,1933,2516,19,5,99,14,106,76,22,0,2020-04-15 10:00:00+00:00,62.0,54.142857142857146,10.696478788192467,9.340934241301719,10.703791559197146,9.34732027865373,10.539539422127254,9.203883504576565
32,33,2020/04/16 10:00:00+00,20,896,1516,1160,103,23,283,101,327,18,497,4,161,451,11,2133,2722,19,6,98,14,109,87,25,0,2020-04-16 10:00:00+00:00,51.0,55.857142857142854,8.798716422545416,9.636689415168789,8.804731766436362,9.643277648954111,8.66962113755629,9.495299341133078
33,34,2020/04/17 10:00:00+00,26,966,1569,1273,109,28,288,127,337,20,525,4,176,475,14,2280,2966,19,9,100,14,116,103,28,0,2020-04-17 10:00:00+00:00,70.0,58.857142857142854,12.076669599572142,10.154260969436168,12.084925953932261,10.161203046979779,11.899479992724318,10.005277055106978
34,35,2020/04/18 10:00:00+00,33,1005,1664,1378,109,33,308,131,347,20,557,4,195,508,16,2404,3160,24,10,101,16,116,138,31,0,2020-04-18 10:00:00+00:00,39.0,55.714285714285715,6.728430205475907,9.612043150679867,6.733030174333689,9.618614534762413,6.629710281660691,9.471014688086703
35,36,2020/04/19 10:00:00+00,33,1047,1733,1392,113,33,313,131,370,21,591,4,210,515,18,2507,3345,25,10,105,19,117,145,33,0,2020-04-19 10:00:00+00:00,42.0,55.42857142857143,7.246001759743285,9.562750621702023,7.2509555723593575,9.569288306379017,7.139687995634591,9.42244538199395
36,37,2020/04/20 10:00:00+00,32,1098,1875,1511,114,39,335,134,392,23,616,4,226,538,28,2647,3583,26,11,107,22,123,166,34,0,2020-04-20 10:00:00+00:00,51.0,53.42857142857143,8.798716422545416,9.217702918857103,8.804731766436362,9.224004707695238,8.66962113755629,9.082460239344684
37,38,2020/04/21 10:00:00+00,56,1157,1925,1542,116,41,330,134,401,25,632,4,232,565,29,2768,3734,27,11,107,22,126,176,33,0,2020-04-21 10:00:00+00:00,59.0,53.42857142857143,10.178907233925091,9.217702918857103,10.185866161171479,9.224004707695238,10.029561708153354,9.082460239344684
38,39,2020/04/22 10:00:00+00,58,1190,2012,1602,118,41,344,134,427,28,658,4,267,592,36,2868,3875,31,11,112,23,127,183,34,0,2020-04-22 10:00:00+00:00,33.0,49.285714285714285,5.693287096941152,8.502961248678345,5.697179378282352,8.50877439613598,5.609754853712893,8.378205300999776
39,40,2020/04/23 10:00:00+00,77,1294,2132,1672,121,50,355,140,442,31,690,4,280,618,64,3060,4141,33,12,115,25,139,203,39,0,2020-04-23 10:00:00+00:00,104.0,56.857142857142854,17.94248054793575,9.809213266591248,17.954747131556502,9.815919448296,17.679227417761844,9.665291912457713
40,41,2020/04/24 10:00:00+00,90,1373,2234,1728,125,55,372,144,459,32,765,4,289,642,67,3227,4403,43,13,119,23,143,222,44,0,2020-04-24 10:00:00+00:00,79.0,58.142857142857146,13.629384262374273,10.031029646991554,13.638702148009267,10.037887476021286,13.429413134646015,9.883853789875095
41,42,2020/04/25 10:00:00+00,105,1430,2387,1791,130,61,384,146,483,38,814,4,302,686,67,3483,4795,52,14,124,28,154,242,46,0,2020-04-25 10:00:00+00:00,57.0,60.714285714285715,9.833859531080172,10.474662407792165,9.8405825624877,10.48182353147186,9.689576565504087,10.320977544709868
42,43,2020/04/26 10:00:00+00,113,1510,2509,1866,134,63,391,154,504,46,834,4,319,707,68,3645,4987,53,16,133,34,173,270,48,0,2020-04-26 10:00:00+00:00,80.0,66.14285714285714,13.801908113796733,11.411220458371227,13.811343947351158,11.419021870756401,13.59940570597065,11.243794360472164
43,44,2020/04/27 10:00:00+00,114,1544,2548,1933,138,68,403,163,529,51,865,4,352,778,70,3843,5263,54,19,144,34,181,336,53,0,2020-04-27 10:00:00+00:00,34.0,63.714285714285715,5.865810948363611,10.99223396205954,5.8698211776242415,10.999748929497528,5.7797474250375265,10.830955258683769
44,45,2020/04/28 10:00:00+00,115,1571,2631,1977,139,69,416,163,539,52,870,4,358,802,73,4003,5496,55,20,145,34,187,340,54,0,2020-04-28 10:00:00+00:00,27.0,59.142857142857146,4.6581439884063975,10.203553498414013,4.6613285822310155,10.210529275363177,4.589799425765094,10.053846361199732
45,46,2020/04/29 10:00:00+00,116,1662,2740,2014,142,69,421,164,551,51,893,4,371,831,73,4152,5738,55,21,145,34,197,350,55,0,2020-04-29 10:00:00+00:00,91.0,67.42857142857143,15.699670479443784,11.633036838771531,15.71040374011194,11.640989898481688,15.469323990541614,11.462356237889548
46,47,2020/04/30 10:00:00+00,118,1725,2831,2068,150,71,436,167,564,51,918,4,414,867,79,4300,6043,52,26,150,35,206,406,61,0,2020-04-30 10:00:00+00:00,63.0,61.57142857142857,10.869002639614926,10.622539994725699,10.876433358539037,10.629802216622052,10.709531993451886,10.466685462988124
47,48,2020/05/01 10:00:00+00,118,1807,3013,2162,161,74,460,176,611,54,942,4,437,896,86,4754,6735,52,30,159,35,216,425,65,0,2020-05-01 10:00:00+00:00,82.0,62.0,14.14695581664165,10.696478788192467,14.156627546034937,10.703791559197146,13.939390848619917,10.539539422127254
48,49,2020/05/02 10:00:00+00,121,1885,3183,2237,160,79,480,187,622,59,976,4,468,931,80,4919,7041,57,32,164,39,225,452,72,0,2020-05-02 10:00:00+00:00,78.0,65.0,13.456860410951814,11.214050342459844,13.466060348667378,11.221716957222815,13.259420563321383,11.049517136101153
49,50,2020/05/03 10:00:00+00,124,1959,3301,2319,162,95,494,188,637,71,1004,4,479,969,91,5150,7333,60,33,165,44,232,473,75,0,2020-05-03 10:00:00+00:00,74.0,64.14285714285714,12.766765005261979,11.066172755526308,12.77549315129982,11.073738272072623,12.57945027802285,10.903809217822896
50,51,2020/05/04 10:00:00+00,126,2018,3448,2411,171,98,506,194,651,75,1038,4,491,992,95,5384,7598,63,35,168,45,237,480,80,0,2020-05-04 10:00:00+00:00,59.0,67.71428571428571,10.178907233925091,11.682329367749379,10.185866161171479,11.690316126865085,10.029561708153354,11.5109255439823
51,52,2020/05/05 10:00:00+00,129,2045,3430,2609,174,99,513,195,660,76,1071,4,499,1010,95,5541,7831,65,37,170,45,238,500,81,0,2020-05-05 10:00:00+00:00,27.0,67.71428571428571,4.6581439884063975,11.682329367749377,4.6613285822310155,11.690316126865087,4.589799425765094,11.5109255439823
52,53,2020/05/06 10:00:00+00,129,2085,3527,2752,184,101,521,200,670,79,1108,4,532,1061,94,5790,8135,67,39,186,45,251,517,86,0,2020-05-06 10:00:00+00:00,40.0,60.42857142857143,6.9009540568983665,10.425369878814319,6.905671973675579,10.432497303088464,6.799702852985325,10.272408238617114
53,54,2020/05/07 10:00:00+00,143,2194,3662,2856,188,105,534,208,698,85,1151,4,552,1098,98,6032,8516,68,40,193,52,260,541,96,0,2020-05-07 10:00:00+00:00,109.0,67.0,18.805099805048048,11.559098045304763,18.81795612826595,11.567000555906594,18.52919027438501,11.389502278750419
54,55,2020/05/08 10:00:00+00,143,2290,3763,2941,191,107,542,211,716,86,1182,5,572,1138,98,6316,8901,70,41,207,55,259,553,98,0,2020-05-08 10:00:00+00:00,96.0,69.0,16.56228973655608,11.904145748149682,16.57361273682139,11.912284154590372,16.31928684716478,11.729487421399684
55,56,2020/05/09 10:00:00+00,144,2372,3737,3208,202,110,551,219,729,91,1213,6,589,1170,102,6555,9205,72,42,234,58,265,558,102,0,2020-05-09 10:00:00+00:00,82.0,69.57142857142857,14.14695581664165,12.002730806105372,14.156627546034937,12.010936611357167,13.939390848619917,11.826626033585189
56,57,2020/05/10 10:00:00+00,146,2463,3862,3317,206,133,560,242,748,95,1251,6,605,1205,113,6762,9496,80,43,241,60,276,571,106,0,2020-05-10 10:00:00+00:00,91.0,72.0,15.699670479443784,12.42171730241706,15.71040374011194,12.43020955261604,15.469323990541614,12.239465135373583
57,58,2020/05/11 10:00:00+00,146,2492,3948,3353,209,167,583,267,756,98,1267,6,605,1223,116,6909,9687,100,50,244,61,283,690,113,0,2020-05-11 10:00:00+00:00,29.0,67.71428571428571,5.003191691251316,11.682329367749377,5.006612180914795,11.690316126865087,4.929784568414361,11.5109255439823
58,59,2020/05/12 10:00:00+00,148,2520,4051,3404,211,174,589,270,761,102,1282,6,614,1234,120,7130,9892,103,51,246,61,284,694,114,0,2020-05-12 10:00:00+00:00,28.0,67.85714285714286,4.830667839828856,11.7069756322383,4.833970381572905,11.714979241056785,4.759791997089727,11.535210197028675
59,60,2020/05/13 10:00:00+00,149,2596,4160,3476,214,177,595,271,778,102,1302,6,629,1258,123,7283,10072,104,51,254,62,287,738,125,0,2020-05-13 10:00:00+00:00,76.0,73.0,13.111812708106894,12.59424115383952,13.1207767499836,12.602851351957929,12.919435420672118,12.40945770669822
60,61,2020/05/14 10:00:00+00,150,2661,4290,3505,225,183,619,291,796,104,1325,6,663,1285,125,7548,10449,106,51,271,64,305,754,127,0,2020-05-14 10:00:00+00:00,65.0,66.71428571428571,11.214050342459846,11.509805516326919,11.221716957222815,11.517674327523197,11.049517136101153,11.340932972657667
61,62,2020/05/15 10:00:00+00,151,2752,4399,3606,228,190,635,300,829,107,1364,6,671,1313,131,7759,10791,108,54,299,65,320,777,131,0,2020-05-15 10:00:00+00:00,91.0,66.0,15.699670479443784,11.386574193882305,15.71040374011194,11.394358756564703,15.469323990541614,11.219509707425786
62,63,2020/05/16 10:00:00+00,160,2801,4549,3719,237,200,633,308,844,111,1402,7,678,1352,138,7988,11031,112,55,306,68,332,801,136,0,2020-05-16 10:00:00+00:00,49.0,61.285714285714285,8.453668719700499,10.573247465747855,8.459448167752583,10.580475988238652,8.329635994907022,10.41811615689537
63,64,2020/05/17 10:00:00+00,161,2856,4624,3798,241,191,646,308,859,111,1423,6,687,1378,137,8206,11316,125,57,313,68,338,818,137,0,2020-05-17 10:00:00+00:00,55.0,56.142857142857146,9.488811828235253,9.685981944146635,9.49529896380392,9.692603877337508,9.349591422854822,9.543868647225832
64,65,2020/05/18 10:00:00+00,164,2893,4749,3830,245,200,703,318,867,122,1460,7,695,1416,140,8417,11608,129,61,326,68,343,837,164,0,2020-05-18 10:00:00+00:00,37.0,57.285714285714285,6.383382502630989,9.883152060058018,6.38774657564991,9.889908790871095,6.289725139011425,9.73814587159684
65,66,2020/05/19 10:00:00+00,166,2981,4920,4002,255,208,712,323,895,122,1491,7,709,1465,144,8950,12240,133,62,338,68,352,839,164,0,2020-05-19 10:00:00+00:00,88.0,65.85714285714286,15.182098925176405,11.361927929393383,15.192478342086272,11.369695642373005,14.959346276567715,11.195225054379408
66,67,2020/05/20 10:00:00+00,166,3033,5025,4152,259,210,720,328,921,122,1533,7,721,1494,145,9052,12446,135,64,340,69,364,848,169,0,2020-05-20 10:00:00+00:00,52.0,62.42857142857143,8.971240273967876,10.770417581659236,8.977373565778251,10.777780901772243,8.839613708880922,10.612393381266383
67,68,2020/05/21 10:00:00+00,166,3132,5135,4339,278,216,733,331,943,124,1568,7,737,1548,143,9260,12830,141,71,357,70,377,844,181,0,2020-05-21 10:00:00+00:00,99.0,67.28571428571429,17.079861290823455,11.608390574282609,17.091538134847056,11.61632678428999,16.82926456113868,11.438071584843172
68,69,2020/05/22 10:00:00+00,168,3207,5170,4492,291,223,755,339,956,126,1625,7,746,1586,146,9432,13077,141,71,370,73,389,854,180,0,2020-05-22 10:00:00+00:00,75.0,65.0,12.939288856684435,11.214050342459844,12.948134950641709,11.221716957222814,12.749442849347483,11.049517136101153
69,70,2020/05/23 10:00:00+00,168,3282,5290,4673,298,231,765,342,969,126,1661,7,764,1638,148,9699,13324,146,71,379,77,398,859,180,0,2020-05-23 10:00:00+00:00,75.0,68.71428571428571,12.939288856684435,11.854853219171835,12.948134950641709,11.862957926206976,12.749442849347483,11.680918115306934
70,71,2020/05/24 10:00:00+00,170,3307,5373,4782,304,240,783,345,989,127,1696,7,780,1667,152,9922,13521,146,72,393,79,408,867,183,0,2020-05-24 10:00:00+00:00,25.0,64.42857142857143,4.313096285561478,11.115465284504154,4.316044983547236,11.123064500456021,4.249814283115827,10.952378523915646
71,72,2020/05/25 10:00:00+00,176,3357,5476,4888,307,241,802,348,997,128,1731,10,789,1716,155,10111,13726,151,72,395,86,413,892,185,0,2020-05-25 10:00:00+00:00,50.0,66.28571428571429,8.626192571122957,11.43586672286015,8.632089967094473,11.443684984948103,8.499628566231655,11.26807901351854
72,73,2020/05/26 10:00:00+00,176,3394,5498,4997,308,243,811,353,1001,130,1746,10,795,1732,158,10291,13819,151,73,400,86,413,908,194,0,2020-05-26 10:00:00+00:00,37.0,59.0,6.383382502630989,10.178907233925088,6.38774657564991,10.185866161171477,6.289725139011425,10.029561708153354
73,74,2020/05/27 10:00:00+00,177,3448,5562,5054,314,243,817,354,1008,133,1786,10,801,1760,160,10467,14100,151,73,400,84,418,910,193,0,2020-05-27 10:00:00+00:00,54.0,59.285714285714285,9.316287976812795,10.228199762902936,9.322657164462031,10.235192389554873,9.179598851530187,10.078131014246107
74,75,2020/05/28 10:00:00+00,178,3556,5678,5203,320,245,840,356,1027,136,1824,10,827,1815,165,10752,14508,152,73,417,87,423,919,198,0,2020-05-28 10:00:00+00:00,108.0,60.57142857142857,18.63257595362559,10.45001614330324,18.645314328924062,10.45716041728016,18.359197703060374,10.296692891663488
75,76,2020/05/29 10:00:00+00,177,3643,5819,5426,329,248,861,364,1056,140,1856,10,854,1868,167,11035,14773,160,73,460,91,441,931,206,0,2020-05-29 10:00:00+00:00,87.0,62.285714285714285,15.009575073753945,10.745771317170313,15.019836542744383,10.753117787580544,14.78935370524308,10.588108728220005
76,77,2020/05/30 10:00:00+00,177,3743,5955,5564,334,253,880,366,1085,141,1890,10,861,1905,170,11251,15022,159,73,471,96,456,943,210,0,2020-05-30 10:00:00+00:00,100.0,65.85714285714286,17.252385142245913,11.36192792939338,17.264179934188945,11.369695642373005,16.99925713246331,11.195225054379408
77,78,2020/05/31 10:00:00+00,178,3785,6065,5664,341,259,913,371,1108,142,1911,10,882,1928,173,11361,15220,160,73,499,99,469,953,214,0,2020-05-31 10:00:00+00:00,42.0,68.28571428571429,7.246001759743285,11.780914425705067,7.2509555723593575,11.78896858363188,7.139687995634591,11.608064156167803
78,79,2020/06/01 10:00:00+00,180,3842,6299,5604,349,260,914,369,1120,142,1928,10,881,1944,174,11476,15353,161,73,505,101,472,955,215,0,2020-06-01 10:00:00+00:00,57.0,69.28571428571429,9.833859531080172,11.953438277127528,9.8405825624877,11.961610382973769,9.689576565504087,11.778056727492435
79,80,2020/06/02 10:00:00+00,181,3924,6385,5688,352,263,927,377,1133,144,1961,10,891,1975,174,11731,15553,161,74,518,101,480,955,217,0,2020-06-02 10:00:00+00:00,82.0,75.71428571428571,14.14695581664165,13.06252017912905,14.156627546034937,13.071450521600202,13.939390848619917,12.870866114579362
80,81,2020/06/03 10:00:00+00,182,4009,6457,5801,348,265,940,381,1152,147,2005,10,901,2004,178,11924,15738,162,75,536,103,486,959,219,0,2020-06-03 10:00:00+00:00,85.0,80.14285714285714,14.66452737090903,13.826554378285653,14.674552944060604,13.836007061542857,14.449368562593815,13.623690359017024
81,82,2020/06/04 10:00:00+00,182,4080,6476,5906,352,268,947,388,1174,152,2041,10,920,2033,180,12226,15940,161,76,542,106,516,959,223,0,2020-06-04 10:00:00+00:00,71.0,74.85714285714286,12.2491934509946,12.914642592195511,12.25756775327415,12.923471836450009,12.06947256404895,12.72515819630111
82,83,2020/06/05 10:00:00+00,183,4150,6590,6038,353,268,960,393,1185,153,2069,10,939,2074,184,12434,16169,163,76,547,106,529,967,230,0,2020-06-05 10:00:00+00:00,70.0,72.42857142857143,12.076669599572142,12.495656095883827,12.084925953932261,12.504198895191138,11.899479992724318,12.312319094512713
83,84,2020/06/06 10:00:00+00,184,4210,6696,6141,354,270,950,399,1196,154,2100,10,947,2094,185,12624,16316,168,76,548,108,545,975,232,0,2020-06-06 10:00:00+00:00,60.0,66.71428571428571,10.35143108534755,11.509805516326919,10.358507960513368,11.517674327523197,10.199554279477987,11.340932972657667
84,85,2020/06/07 10:00:00+00,184,4236,6753,6229,358,272,952,404,1202,155,2114,10,957,2125,187,12734,16434,170,76,553,108,548,977,235,0,2020-06-07 10:00:00+00:00,26.0,64.42857142857143,4.485620136983938,11.115465284504156,4.4886867828891255,11.123064500456021,4.419806854440461,10.952378523915646
85,86,2020/06/08 10:00:00+00,185,4267,6814,6296,362,272,954,408,1211,156,2135,10,961,2156,187,12818,16523,177,77,553,108,551,984,239,0,2020-06-08 10:00:00+00:00,31.0,60.714285714285715,5.348239394096233,10.474662407792163,5.351895779598573,10.48182353147186,5.269769711063627,10.320977544709868
86,87,2020/06/09 10:00:00+00,186,4309,6852,6355,363,273,963,417,1216,157,2152,10,969,2191,188,12968,16636,177,77,561,108,545,990,241,0,2020-06-09 10:00:00+00:00,42.0,55.0,7.246001759743285,9.488811828235255,7.2509555723593575,9.49529896380392,7.139687995634591,9.34959142285482
87,88,2020/06/10 10:00:00+00,185,4348,6916,6428,363,276,969,423,1231,157,2178,10,982,2220,189,13124,16753,178,77,565,108,551,992,242,0,2020-06-10 10:00:00+00:00,39.0,48.42857142857143,6.728430205475907,8.355083661744809,6.733030174333689,8.360795710985789,6.629710281660691,8.232497382721517
88,89,2020/06/11 10:00:00+00,185,4421,6985,6509,366,278,976,429,1235,159,2202,10,990,2311,188,13276,16940,178,78,573,107,560,998,243,0,2020-06-11 10:00:00+00:00,73.0,48.714285714285715,12.59424115383952,8.404376190722655,12.602851351957929,8.410121939369185,12.409457706698216,8.28106668881427
89,90,2020/06/12 10:00:00+00,187,4453,7051,6559,370,279,977,435,1248,160,2225,10,991,2332,189,13348,17042,179,78,575,107,568,1004,246,0,2020-06-12 10:00:00+00:00,32.0,43.285714285714285,5.520763245518693,7.46781814014359,5.524537578940463,7.472923600084643,5.439762282388259,7.358249873051976
90,91,2020/06/13 10:00:00+00,187,4522,7107,6633,373,282,983,439,1264,161,2251,10,1004,2371,192,13534,17216,179,79,578,107,570,1010,253,0,2020-06-13 10:00:00+00:00,69.0,44.57142857142857,11.904145748149682,7.689634520543893,11.912284154590372,7.6948916278099295,11.729487421399686,7.576811750469361
