,OBJECTID,DATE,Count_,Daily Reported,7-Day Avg,Daily100k,7Day,100k7D,100k7DDiff,TotalNewCasesPast7Days,TotalNewCasesPast7Days100k
121,122,2020-07-03,68961,538,406.57,8.898916250942822,406.57142857142856,6.724990878965287,0.4725924721690289,2846.0,47.07493615275701
122,123,2020-07-04,69341,380,413.0,6.28547987984809,413.0,6.831324185203319,0.10633330623803161,2891.0,47.819269296423236
123,124,2020-07-05,69632,291,407.86,4.813354329041563,407.85714285714283,6.746257540212894,-0.08506664499042493,2855.0,47.22380278149026
124,125,2020-07-06,69904,272,378.57,4.499080335049159,378.57142857142856,6.261850256239638,-0.4844072839732556,2650.0,43.832951793677466
125,126,2020-07-07,70396,492,405.29,8.138042370750686,405.2857142857143,6.70372421771768,0.44187396147804137,2837.0,46.92606952402377
126,127,2020-07-08,70861,465,420.43,7.691442484550953,420.42857142857144,6.954198227967266,0.2504740102495866,2943.0,48.67938759577087
127,128,2020-07-09,71447,586,432.0,9.692871604186792,432.0,7.145598179195723,0.19139995122845654,3024.0,50.01918725437006
128,129,2020-07-10,71910,463,421.29,7.65836101149912,421.2857142857143,6.968376002132338,-0.17722217706338483,2949.0,48.77863201492636
129,130,2020-07-11,72467,557,446.57,9.213190244935227,446.57142857142856,7.386620340001928,0.4182443378695897,3126.0,51.706342380013496
130,131,2020-07-12,73109,642,496.71,10.619152849638088,496.7142857142857,8.216020128658574,0.8293997886566462,3477.0,57.51214090061002
131,132,2020-07-13,73527,418,517.57,6.9140278678329,517.5714285714286,8.561012633341965,0.3449925046833915,3623.0,59.92708843339376
132,133,2020-07-14,74260,733,552.0,12.124359873496447,552.0,9.130486562305647,0.5694739289636814,3864.0,63.91340593613952
133,134,2020-07-15,75016,756,593.57,12.504796813592515,593.5714285714286,9.818108609311583,0.6876220470059362,4155.0,68.7267602651811
134,135,2020-07-16,75664,648,602.43,10.718397268793584,602.4285714285714,9.964612275683985,0.14650366637240175,4217.0,69.75228592978789
135,136,2020-07-17,76371,707,637.29,11.69430072382263,637.2857142857143,10.541175091730198,0.5765628160462128,4461.0,73.78822564211139
136,137,2020-07-18,77206,835,677.0,13.811514999139883,677.0,11.19807862804515,0.6569035363149531,4739.0,78.38655039631605
137,138,2020-07-19,78131,925,717.43,15.300181286472325,717.4285714285714,11.866796976164325,0.6687183481191745,5022.0,83.06757883315028
138,139,2020-07-20,78685,554,736.86,9.163568035357478,736.8571428571429,12.188159857239265,0.3213628810749398,5158.0,85.31711900067486
139,140,2020-07-21,79545,860,755.0,14.225033412287782,755.0,12.488256077066598,0.30009621982733314,5285.0,87.4177925394662
140,141,2020-07-22,80172,627,736.57,10.371041801749348,736.5714285714286,12.183433932517577,-0.30482214454902135,5156.0,85.28403752762303
141,142,2020-07-23,80836,664,738.86,10.98304905320824,738.8571428571429,12.221241330291098,0.0378073977735216,5172.0,85.54868931203768
142,143,2020-07-24,81766,930,770.71,15.382884969101905,770.7142857142857,12.748181936759567,0.5269406064684681,5395.0,89.23727355731697
143,144,2020-07-25,83054,1288,835.43,21.304468645379842,835.4285714285714,13.818603886222418,1.070421949462851,5848.0,96.73022720355692
144,145,2020-07-26,83748,694,802.43,11.479271148985722,802.4285714285714,13.272759580867188,-0.5458443053552298,5617.0,92.90931706607032
145,146,2020-07-27,84876,1128,884.43,18.657950801233277,884.4285714285714,14.629099975992302,1.3563403951251143,6191.0,102.40369983194613
146,147,2020-07-28,85524,648,854.14,10.718397268793584,854.1428571428571,14.128151955493133,-0.5009480204991696,5979.0,98.89706368845191
147,148,2020-07-29,86285,761,873.29,12.587500496222097,873.2857142857143,14.444788911846382,0.31663695635324984,6113.0,101.11352238292466
148,149,2020-07-30,87177,892,905.86,14.754336981117095,905.8571428571429,14.983544330119074,0.5387554182726912,6341.0,104.88481031083353
149,150,2020-07-31,88346,1169,940.0,19.336120998795835,940.0,15.548292334361065,0.5647480042419915,6580.0,108.83804634052746
150,151,2020-08-01,89365,1019,901.57,16.855010519908433,901.5714285714286,14.91265545929372,-0.6356368750673447,6311.0,104.38858821505603
151,152,2020-08-02,90274,909,932.29,15.035529502057667,932.2857142857143,15.420692366875427,0.5080369075817064,6526.0,107.94484656812797
152,153,2020-08-03,91144,870,895.43,14.390440777546944,895.4285714285714,14.811048077777377,-0.6096442890980498,6268.0,103.67733654444164
153,154,2020-08-04,91854,710,904.29,11.743922933400379,904.2857142857143,14.957551744149779,0.14650366637240175,6330.0,104.70286220904843
154,155,2020-08-05,92426,572,877.29,9.461301292823967,877.2857142857143,14.510951857950046,-0.4465998861997331,6141.0,101.57666300565033
155,156,2020-08-06,93005,579,832.57,9.577086448505378,832.5714285714286,13.771344639005516,-0.7396072189445295,5828.0,96.3994124730386
156,157,2020-08-07,93806,801,780.0,13.249129957258738,780.0,12.901774490214498,-0.8695701487910181,5460.0,90.3124214315015
157,158,2020-08-08,94581,775,745.14,12.81907080758492,745.1428571428571,12.325211674168283,-0.5765628160462146,5216.0,86.276481719178
158,159,2020-08-09,95503,922,747.0,15.250559076894577,747.0,12.355930184859274,0.030718510690990186,5229.0,86.4915112940149
159,160,2020-08-10,96258,755,730.57,12.4882560770666,730.5714285714286,12.08418951336208,-0.2717406714971933,5114.0,84.58932659353457
160,161,2020-08-11,96843,585,712.71,9.676330867660875,712.7142857142857,11.788819218256435,-0.29537029510564494,4989.0,82.52173452779505
161,162,2020-08-12,97384,541,708.29,8.94853846052057,708.2857142857143,11.715567385070239,-0.07325183318619644,4958.0,82.00897169549165
162,163,2020-08-13,98160,776,736.43,12.835611544110835,736.4285714285714,12.18107097015673,0.46550358508649126,5155.0,85.2674967910971
163,164,2020-08-14,98875,715,724.14,11.826626616029959,724.1428571428571,11.977856207124047,-0.20321476303268327,5069.0,83.84499344986833
164,165,2020-08-15,99693,818,730.29,13.53032247819931,730.2857142857143,12.07946358864039,0.10160738151634341,5112.0,84.55624512048271
165,166,2020-08-16,100212,519,672.71,8.584642256950417,672.7142857142857,11.127189757219794,-0.9522738314205963,4709.0,77.89032830053857
166,167,2020-08-17,100715,503,636.71,8.31999047253576,636.7142857142857,10.531723242286818,-0.5954665149329763,4457.0,73.72206269600773
167,168,2020-08-18,101235,520,627.43,8.601182993476334,627.4285714285714,10.378130688831883,-0.15359255345493494,4392.0,72.64691482182319
168,169,2020-08-19,101649,414,609.29,6.847864921729235,609.2857142857143,10.07803446900455,-0.30009621982733314,4265.0,70.54624128303186
169,170,2020-08-20,102229,580,581.29,9.593627185031295,581.2857142857143,9.614893846278902,-0.46314062272564804,4069.0,67.30425692395231
170,171,2020-08-21,102899,670,574.86,11.082293472363737,574.8571428571429,9.50856054004087,-0.10633330623803161,4024.0,66.55992378028608
171,172,2020-08-22,103523,624,547.14,10.3214195921716,547.1428571428571,9.050145842036912,-0.45841469800395807,3830.0,63.35102089425838
172,173,2020-08-23,104102,579,555.71,9.577086448505378,555.7142857142857,9.19192358368762,0.14177774165070822,3890.0,64.34346508581334
173,174,2020-08-24,104669,567,564.86,9.378597610194387,564.8571428571429,9.343153174781708,0.15122959109408818,3954.0,65.40207222347196
174,175,2020-08-25,105046,377,544.43,6.235857670270342,544.4285714285714,9.005249557180854,-0.33790361760085474,3811.0,63.03674690026598
175,176,2020-08-26,105486,440,548.14,7.277924071403051,548.1428571428571,9.066686578562827,0.06143702138197327,3837.0,63.46680604993979
