,ReportDate,DataDate,Year,Pop1,AnneArundel,AADailyCases,AAWeeklyCases,AA7Day,AAWeekly100k,AAWeekly100k1,AADaily100k2020Census,AA100k7D-2020Census,AACounty100k2020ACS,AA100k7D-2020ACS,AADaily100k2019ACS,AA100k7D-2019ACS,AADaily100k2019PEP,AA100k7D-2019PEP,AADaily100kCounty,AA100k7D-County,AADaily100kCalc,AA100k7D-Calc
63,2020-05-06,2020-05-05,2020.0,588769.0,2085,40.0,423.0,60.42857142857143,71.8448151991698,72.97758915170023,6.799702852985325,10.272408238617114,6.951432081901773,10.501627752301605,7.0018817557218505,10.577842795251225,6.905671973675579,10.432497303088464,6.9009540568983665,10.425369878814319,6.793835952640169,10.263545028452826
64,2020-05-07,2020-05-06,2020.0,588769.0,2194,109.0,469.0,67.0,79.65772654470598,80.91368631713334,18.52919027438501,11.389502278750419,18.94265242318233,11.64364873718547,19.08012778434204,11.728151940834099,18.81795612826595,11.567000555906594,18.805099805048048,11.559098045304763,18.513202970944462,11.379675220672283
65,2020-05-08,2020-05-07,2020.0,588769.0,2290,96.0,483.0,69.0,82.03556912813005,83.32902023704777,16.31928684716478,11.729487421399684,16.683436996564254,11.991220341280556,16.80451621373244,12.078246028620189,16.57361273682139,11.912284154590372,16.56228973655608,11.904145748149682,16.305206286336407,11.719367018304293
66,2020-05-09,2020-05-08,2020.0,588769.0,2372,82.0,487.0,69.57142857142857,82.71495272339406,84.0191156427376,13.939390848619917,11.826626033585189,14.250435767898635,12.090526513879155,14.353857599229793,12.178272910844788,14.156627546034937,12.010936611357167,14.14695581664165,12.002730806105372,13.927363702912347,11.816421817627724
67,2020-05-10,2020-05-09,2020.0,588769.0,2463,91.0,504.0,72.0,85.60233300326614,86.95202111691941,15.469323990541614,12.239465135373583,15.814507986326532,12.51257774742319,15.92928099426721,12.60338716029933,15.71040374011194,12.43020955261604,15.699670479443784,12.42171730241706,15.455976792256386,12.228904714752305
68,2020-05-11,2020-05-10,2020.0,588769.0,2492,29.0,474.0,67.71428571428571,80.50695603878602,81.77630557424564,4.929784568414361,11.5109255439823,5.039788259378786,11.767781452933717,5.076364272898341,11.853185543614845,5.006612180914795,11.690316126865087,5.003191691251316,11.682329367749377,4.9255310656641225,11.500993719826573
69,2020-05-12,2020-05-11,2020.0,588769.0,2520,28.0,475.0,67.85714285714286,80.67680193760201,81.94882942566811,4.759791997089727,11.535210197028675,4.866002457331241,11.792607996083364,4.901317229005295,11.878192264170995,4.833970381572905,11.714979241056785,4.830667839828856,11.7069756322383,4.755685166848118,11.525257419657432
70,2020-05-13,2020-05-12,2020.0,588769.0,2596,76.0,511.0,73.0,86.79125429497817,88.15968807687663,12.919435420672118,12.40945770669822,13.207720955613368,12.686363549470736,13.303575335871516,12.778434204192376,13.1207767499836,12.602851351957929,13.111812708106894,12.59424115383952,12.90828831001632,12.39875061356831
71,2020-05-14,2020-05-13,2020.0,588769.0,2661,65.0,467.0,66.71428571428571,79.31803474707398,80.56863861428843,11.049517136101153,11.340932972657667,11.296077133090382,11.593995650886171,11.378057853048007,11.6781384997218,11.221716957222815,11.517674327523197,11.214050342459846,11.509805516326919,11.039983423040276,11.331147821010566
72,2020-05-15,2020-05-14,2020.0,588769.0,2752,91.0,462.0,66.0,78.46880525299396,79.70601935717613,15.469323990541614,11.219509707425786,15.814507986326532,11.469862935137927,15.92928099426721,11.553104896941052,15.71040374011194,11.394358756564703,15.699670479443784,11.386574193882305,15.455976792256386,11.20982932185628
73,2020-05-16,2020-05-15,2020.0,588769.0,2801,49.0,429.0,61.285714285714285,72.86389059206581,74.01273226023498,8.329635994907022,10.41811615689537,8.515504300329672,10.650587011199503,8.577305150759265,10.727883118588121,8.459448167752583,10.580475988238652,8.453668719700499,10.573247465747855,8.322449041984209,10.409127227437974
74,2020-05-17,2020-05-16,2020.0,588769.0,2856,55.0,393.0,56.142857142857146,66.74943823468966,67.80187360902644,9.349591422854822,9.543868647225832,9.558219112614937,9.75683145781213,9.627587414117544,9.82764117856674,9.49529896380392,9.692603877337508,9.488811828235253,9.685981944146635,9.341524434880233,9.535634033527094
75,2020-05-18,2020-05-17,2020.0,588769.0,2893,37.0,401.0,57.285714285714285,68.1082054252177,69.18206442040612,6.289725139011425,9.73814587159684,6.43007467575914,9.955443803009326,6.476740624042712,10.027694943015934,6.38774657564991,9.889908790871095,6.383382502630989,9.883152060058018,6.284298256192158,9.729743632173959
76,2020-05-19,2020-05-18,2020.0,588769.0,2981,88.0,461.0,65.85714285714286,78.29895935417795,79.53349550575368,14.959346276567715,11.195225054379408,15.2931505801839,11.445036391988276,15.404139862588071,11.528098176384905,15.192478342086272,11.369695642373005,15.182098925176405,11.361927929393383,14.946439095808373,11.185565622025422
77,2020-05-20,2020-05-19,2020.0,588769.0,3033,52.0,437.0,62.42857142857143,74.22265778259384,75.39292307161465,8.839613708880922,10.612393381266383,9.036861706472305,10.849199356396696,9.102446282438406,10.927936883037315,8.977373565778251,10.777780901772243,8.971240273967876,10.770417581659236,8.83198673843222,10.603236826084837
78,2020-05-21,2020-05-20,2020.0,588769.0,3132,99.0,471.0,67.28571428571429,79.997418342338,81.25873401997826,16.82926456113868,11.438071584843172,17.204794402706888,11.693301823484768,17.32965734541158,11.778165381946398,17.091538134847056,11.61632678428999,17.079861290823455,11.608390574282609,16.81474398278442,11.428202620334
79,2020-05-22,2020-05-21,2020.0,588769.0,3207,75.0,455.0,65.0,77.27988396128193,78.49835239721891,12.749442849347483,11.049517136101153,13.033935153565823,11.29607713309038,13.12852829197847,11.378057853048006,12.948134950641709,11.221716957222814,12.939288856684435,11.214050342459844,12.73844241120032,11.039983423040278
80,2020-05-23,2020-05-22,2020.0,588769.0,3282,75.0,481.0,68.71428571428571,81.69587733049804,82.98397253420285,12.749442849347483,11.680918115306934,13.033935153565823,11.94156725498126,13.12852829197847,12.02823258750789,12.948134950641709,11.862957926206976,12.939288856684435,11.854853219171835,12.73844241120032,11.670839618642576
81,2020-05-24,2020-05-23,2020.0,588769.0,3307,25.0,451.0,64.42857142857143,76.60050036601791,77.80825699152908,4.249814283115827,10.952378523915646,4.344645051188608,11.196770960491785,4.376176097326157,11.278030970823409,4.316044983547236,11.123064500456021,4.313096285561478,11.115465284504154,4.246147470400106,10.942928623716847
82,2020-05-25,2020-05-24,2020.0,588769.0,3357,50.0,464.0,66.28571428571429,78.80849705062596,80.05106706002105,8.499628566231655,11.26807901351854,8.689290102377216,11.519516021437223,8.752352194652314,11.603118338053353,8.632089967094473,11.443684984948103,8.626192571122957,11.43586672286015,8.492294940800212,11.258356721517996
83,2020-05-26,2020-05-25,2020.0,588769.0,3394,37.0,413.0,59.0,70.14635621100976,71.25235063747563,6.289725139011425,10.029561708153354,6.43007467575914,10.253362320805113,6.476740624042712,10.32777558968973,6.38774657564991,10.185866161171477,6.383382502630989,10.178907233925088,6.284298256192158,10.020908030144252
84,2020-05-27,2020-05-26,2020.0,588769.0,3448,54.0,415.0,59.285714285714285,70.48604800864176,71.59739834032055,9.179598851530187,10.078131014246107,9.384433310567394,10.303015407104413,9.452540370224497,10.37778903080203,9.322657164462031,10.235192389554873,9.316287976812795,10.228199762902936,9.171678536064228,10.069435429805967
85,2020-05-28,2020-05-27,2020.0,588769.0,3556,108.0,424.0,60.57142857142857,72.01466109798581,73.15011300312268,18.359197703060374,10.296692891663488,18.768866621134787,10.526454295451256,18.905080740448994,10.602849515807375,18.645314328924062,10.45716041728016,18.63257595362559,10.45001614330324,18.343357072128455,10.287808728283684
86,2020-05-29,2020-05-28,2020.0,588769.0,3643,87.0,436.0,62.285714285714285,74.05281188377785,75.22039922019219,14.78935370524308,10.588108728220005,15.119364778136356,10.824372813247047,15.229092818695026,10.902930162481168,15.019836542744383,10.753117787580544,15.009575073753945,10.745771317170313,14.77659319699237,10.57897312625398
87,2020-05-30,2020-05-29,2020.0,588769.0,3743,100.0,461.0,65.85714285714286,78.29895935417795,79.53349550575368,16.99925713246331,11.195225054379408,17.37858020475443,11.445036391988278,17.504704389304628,11.528098176384903,17.264179934188945,11.369695642373005,17.252385142245913,11.36192792939338,16.984589881600424,11.185565622025422
88,2020-05-31,2020-05-30,2020.0,588769.0,3785,42.0,478.0,68.28571428571429,81.18633963405003,82.46640097993549,7.139687995634591,11.608064156167803,7.299003685996861,11.867087625532312,7.351975843507943,11.953212425839444,7.2509555723593575,11.78896858363188,7.246001759743285,11.780914425705067,7.133527750272178,11.598048519150003
89,2020-06-01,2020-05-31,2020.0,588769.0,3842,57.0,485.0,69.28571428571429,82.37526092576205,83.67406793989268,9.689576565504087,11.778056727492435,9.905790716710026,12.040873427579857,9.977681501903637,12.128259469732493,9.8405825624877,11.961610382973769,9.833859531080172,11.953438277127528,9.681216232512242,11.767894417966009
90,2020-06-02,2020-06-01,2020.0,588769.0,3924,82.0,530.0,75.71428571428571,90.01832637248225,91.43764125390335,13.939390848619917,12.870866114579362,14.250435767898635,13.15806786931407,14.353857599229793,13.253561894759216,14.156627546034937,13.071450521600202,14.14695581664165,13.06252017912905,13.927363702912347,12.859760910354607
91,2020-06-03,2020-06-02,2020.0,588769.0,4009,85.0,561.0,80.14285714285714,95.28354923577838,96.78588064799959,14.449368562593815,13.623690359017024,14.771793174041267,13.927690706953195,14.878998730908933,14.028770231999848,14.674552944060604,13.836007061542857,14.66452737090903,13.826554378285653,14.43690139936036,13.611935605111197
92,2020-06-04,2020-06-03,2020.0,588769.0,4080,71.0,524.0,74.85714285714286,88.99925097958622,90.4024981453686,12.06947256404895,12.72515819630111,12.338791945375647,13.009108610416176,12.428340116406284,13.10352157142232,12.25756775327415,12.923471836450009,12.2491934509946,12.914642592195511,12.0590588159363,12.71417871136946
93,2020-06-05,2020-06-04,2020.0,588769.0,4150,70.0,507.0,72.42857142857143,86.11187069971415,87.46959267118679,11.899479992724318,12.312319094512713,12.165006143328101,12.587057376872139,12.253293072513237,12.678407321967779,12.084925953932261,12.504198895191138,12.076669599572142,12.495656095883827,11.889212917120297,12.301695814244878
94,2020-06-06,2020-06-05,2020.0,588769.0,4210,60.0,467.0,66.71428571428571,79.31803474707398,80.56863861428843,10.199554279477987,11.340932972657667,10.42714812285266,11.593995650886171,10.502822633582776,11.6781384997218,10.358507960513368,11.517674327523197,10.35143108534755,11.509805516326919,10.190753928960254,11.33114782101057
95,2020-06-07,2020-06-06,2020.0,588769.0,4236,26.0,451.0,64.42857142857143,76.60050036601791,77.80825699152908,4.419806854440461,10.952378523915646,4.518430853236152,11.196770960491785,4.551223141219203,11.278030970823409,4.4886867828891255,11.123064500456021,4.485620136983938,11.115465284504156,4.41599336921611,10.942928623716844
